code,industry,stockratio,initialPE,initialFCF,initialPB,initialPS
MMM,Industrials,94.93414812128809,13.52,10.48,3.26,1.86
ABT,Health Care,79.94052020534596,5.71,5.29,1.41,1.06
ABMD,Health Care,97.60612101087032,0.0,0.0,2.97,3.86
ACN,Information Technology,95.345918276512,13.89,9.53,7.09,1.15
ATVI,Communication Services,100.59745988743055,142.25,11.72,1.16,3.08
ADBE,Information Technology,70.26727649900323,47.41,18.65,3.75,6.31
AMD,Information Technology,74.92829600230978,53.78,939.81,10.02,1.2
AAP,Consumer Discretionary,145.54798510953387,13.9,7.25,2.86,0.69
AES,Utilities,81.15687572274948,10.38,0.0,0.77,0.53
AFL,Financials,110.74663691277064,10.98,2.67,1.95,0.9
A,Health Care,124.76226817263208,0.0,20.21,2.26,1.27
APD,Materials,102.03277632006088,15.09,60.5,2.34,1.49
AKAM,Information Technology,164.6345295399485,32.49,15.11,2.5,5.56
ALK,Industrials,145.49801746113152,9.14,0.0,1.27,0.33
ALB,Materials,137.6965043864682,15.69,10.93,2.23,1.4
ARE,Real Estate,103.25722732355382,16.53,0.0,0.86,3.62
ALXN,Health Care,146.31524949982926,15.11,56.28,6.31,11.43
ALGN,Health Care,97.22652626240733,0.0,18.38,4.87,3.89
LNT,Utilities,112.89018818995493,20.08,0.0,0.74,0.65
ALL,Financials,96.65800398880569,15.1,3.14,0.77,0.4
GOOGL,Communication Services,84.94696204256638,30.44,23.35,5.49,8.38
MO,Consumer Staples,118.68778911232984,7.04,7.08,5.53,0.95
AMZN,Consumer Discretionary,118.64612432943187,66.27,20.36,11.36,2.42
AEE,Utilities,94.76656256219358,6.52,21.59,0.54,0.55
AAL,Industrials,183.55873724033444,0.0,0.0,-0.43,0.07
AEP,Utilities,96.33873845057899,7.46,0.0,0.81,0.75
AXP,Financials,95.61647216699906,22.35,7.13,2.83,1.51
AIG,Financials,170.42020445620466,0.0,0.16,0.03,0.04
AMT,Real Estate,105.96577116626307,59.04,25.17,4.43,8.65
AWK,Utilities,103.939704374911,0.0,0.0,0.74,1.24
AMP,Financials,133.5336061936925,10.39,0.0,0.78,0.97
ABC,Health Care,117.35974294974314,11.96,7.45,2.27,0.09
AME,Industrials,137.28728173086608,16.24,11.58,2.45,1.83
AMGN,Health Care,86.05453534717061,10.0,7.93,1.98,3.15
APH,Information Technology,101.50230942836893,23.19,14.13,4.17,2.61
ADI,Information Technology,119.91406742249093,22.64,14.98,2.22,2.79
ANSS,Information Technology,106.23454580130962,34.22,24.12,2.97,7.71
ANTM,Health Care,86.48783792033817,4.97,9.03,0.9,0.37
AON,Financials,107.98961764472543,13.02,27.27,1.65,1.3
AOS,Industrials,117.98591605695358,12.97,5.16,1.44,0.38
APA,Energy,103.07998076385485,0.0,48.99,1.85,3.39
AAPL,Information Technology,135.7389783233609,20.96,15.35,4.6,3.54
AMAT,Information Technology,91.75073826705703,0.0,155.28,1.85,2.6
ADM,Consumer Staples,86.9505672665696,14.0,32.37,1.01,0.33
AJG,Financials,120.24789669218588,12.44,8.52,1.83,0.92
AIZ,Financials,118.04668133560953,6.42,12.81,0.56,0.32
T,Communication Services,98.98400668893372,7.01,4.93,0.86,0.72
ATO,Utilities,98.71811474861356,9.25,5.54,0.86,0.43
ADSK,Information Technology,128.75206456780884,0.0,36.4,4.0,3.29
ADP,Information Technology,98.97196402646877,10.66,10.08,2.5,1.65
AZO,Consumer Discretionary,155.55162434068654,11.92,10.75,-15.12,1.17
AVB,Real Estate,125.95282187365093,29.88,0.0,1.54,5.58
AVY,Materials,105.33468715817624,28.83,6.41,2.18,0.5
BKR,Energy,126.82584503829406,17.2,23.03,1.0,0.75
BLL,Materials,117.52115343094722,11.56,11.13,2.8,0.67
BAC,Financials,78.71907990504235,0.0,0.8,0.49,0.64
BK,Financials,97.0007820663136,0.0,7.72,0.93,3.15
BAX,Health Care,78.4227112721938,7.16,8.36,2.09,1.26
BDX,Health Care,96.99276909982318,12.91,15.18,2.92,2.24
BRK.B,Financials,108.08292436046374,18.99,14.03,0.36,1.36
BBY,Consumer Discretionary,89.72005466669086,0.0,63.66,2.13,0.28
BIO,Health Care,95.46125795159648,18.55,10.39,2.08,1.5
BIIB,Health Care,111.12745855566169,14.76,15.7,2.27,3.27
BLK,Financials,74.51571735194321,28.54,18.2,0.44,5.02
BA,Industrials,109.57217465463609,23.53,6.76,13.75,0.44
BKNG,Consumer Discretionary,162.20585477435185,22.11,21.87,7.53,4.56
BWA,Consumer Discretionary,193.1022775874283,130.07,19.54,1.57,0.88
BXP,Real Estate,116.69626202619811,27.08,35.71,1.3,4.03
BSX,Health Care,74.57981123524661,0.0,25.7,1.11,1.66
BMY,Health Care,96.40907849810138,3.3,8.97,2.04,1.86
BR,Information Technology,88.51757809479646,11.39,9.19,2.81,1.17
BF.B,Consumer Staples,112.87436004973841,12.07,10.45,2.98,2.37
CHRW,Industrials,123.51664477196995,21.52,22.67,7.09,1.03
COG,Energy,77.26675307212086,28.08,50.98,2.31,4.74
CDNS,Information Technology,122.27034417177532,0.0,0.0,14.85,1.81
CPB,Consumer Staples,104.46271603687221,10.31,10.6,8.15,1.06
COF,Financials,98.94387218885426,48.94,7.69,0.56,0.87
CAH,Health Care,107.67895834199948,11.25,4.98,1.68,0.09
KMX,Consumer Discretionary,146.73963268884455,18.07,0.0,2.4,0.62
CCL,Consumer Discretionary,115.63641296664196,10.7,0.0,0.85,1.43
CAT,Industrials,149.4964980826693,29.68,4.97,2.96,0.8
CBRE,Real Estate,133.81907217121315,169.63,20.49,5.57,0.89
CE,Materials,114.35163244461273,8.91,10.16,6.69,0.82
