year,annual_change,initialPE,initialFCF,initialPB,initialPS
2020,16.26,23.4175,72.52666666666667,4.564166666666667,4.119166666666667
2019,28.88,18.3696,13.3984,3.3896,2.8564
2018,-6.24,31.981304347826086,17.151739130434784,4.786086956521739,3.586086956521739
2017,19.42,55.03521739130435,15.593478260869565,4.173478260869565,3.107391304347826
2016,9.54,36.35173913043478,37.869130434782605,-15.198260869565217,3.5643478260869563
2015,-0.73,24.90478260869565,20.295652173913044,8.871739130434783,3.5978260869565215
2014,11.39,27.70578947368421,44.956315789473685,9.198421052631579,3.139473684210526
2013,29.6,30.34111111111111,14.392777777777777,17.145555555555553,1.551111111111111
2012,13.41,10.153333333333332,15.307777777777778,0.6416666666666667,1.4077777777777778
2011,0.0,15.388333333333334,13.31611111111111,2.827777777777778,1.685
2010,12.78,22.29235294117647,18.398235294117647,1.7852941176470587,1.585294117647059
2009,23.45,24.101875,5.8825,1.1025,1.040625
2008,-38.49,15.145333333333333,62.192,5.381333333333333,2.8513333333333333
2007,3.53,29.878,16.019333333333332,-1.6333333333333335,4.102666666666667
