year,annual_change,initialPE,initialFCF,initialPB,initialPS
2020,16.26,42.10151515151515,19.954242424242423,-1.787272727272727,2.849090909090909
2019,28.88,17.55764705882353,25.92044117647059,11.794705882352941,2.1666176470588234
2018,-6.24,24.737910447761195,24.72731343283582,6.1537313432835825,2.523731343283582
2017,19.42,24.631363636363638,20.774242424242424,8.398636363636363,2.1395454545454546
2016,9.54,17.80121212121212,23.67621212121212,9.431818181818182,1.93
2015,-0.73,20.523384615384614,26.950153846153846,9.526,1.9103076923076923
2014,11.39,21.90203125,28.6884375,3.31296875,1.79828125
2013,29.6,19.05515625,21.42203125,13.0103125,1.37015625
2012,13.41,16.23548387096774,24.77225806451613,2.156451612903226,1.2309677419354839
2011,0.0,18.734,17.670166666666667,1.0490000000000002,1.3285
2010,12.78,19.214237288135593,14.430677966101694,2.380169491525424,1.048135593220339
2009,23.45,9.540847457627118,11.385254237288136,1.4501694915254237,0.7469491525423729
2008,-38.49,15.794137931034482,15.353620689655173,2.7758620689655173,1.1793103448275861
2007,3.53,16.07741379310345,21.771551724137932,2.346206896551724,1.1287931034482759
