year,annual_change,initialPE,initialFCF,initialPB,initialPS
2020,16.26,17.684615384615384,14.310769230769232,-10.474615384615383,4.181538461538461
2019,28.88,16.6446875,21.515625,2.06609375,2.7490625
2018,-6.24,17.1421875,22.17859375,-0.5509375000000002,3.31796875
2017,19.42,19.66421875,32.659375,1.99859375,2.95171875
2016,9.54,15.496984126984128,11.656507936507936,0.9595238095238096,2.6187301587301586
2015,-0.73,15.37688524590164,22.87655737704918,8.789344262295081,2.630327868852459
2014,11.39,16.282622950819672,11.707377049180328,2.4108196721311477,2.543606557377049
2013,29.6,13.289016393442623,8.577213114754098,1.62,1.8265573770491803
2012,13.41,10.780491803278688,9.698196721311476,0.3816393442622951,1.5631147540983605
2011,0.0,14.98135593220339,8.861186440677967,0.7762711864406779,1.8216949152542372
2010,12.78,12.250847457627119,11.378135593220339,0.795593220338983,1.6820338983050847
2009,23.45,9.756610169491525,5.947966101694916,0.8249152542372882,1.2486440677966102
2008,-38.49,12.383684210526315,10.042105263157895,1.4194736842105262,2.1671929824561404
2007,3.53,13.233859649122808,14.432456140350878,3.536842105263158,2.3419298245614035
