year,annual_change,initialPE,initialFCF,initialPB,initialPS
2020,16.26,92.488,42.982,2.376,11.414
2019,28.88,45.928666666666665,24.251666666666665,2.668,7.344333333333333
2018,-6.24,51.733666666666664,112.29799999999999,2.5646666666666667,7.758666666666667
2017,19.42,39.06166666666667,47.28933333333334,2.453333333333333,7.267333333333333
2016,9.54,32.101,25.617333333333335,2.566333333333333,7.223333333333334
2015,-0.73,31.372666666666667,46.269666666666666,1.952,6.875
2014,11.39,41.42633333333333,17.033333333333335,3.107,5.499666666666667
2013,29.6,31.637,15.667666666666667,2.6763333333333335,5.781333333333333
2012,13.41,60.534,158.45466666666667,-11.852666666666668,5.047
2011,0.0,40.42333333333333,18.521333333333335,2.3366666666666664,4.695666666666667
2010,12.78,28.156,27.419999999999998,1.7156666666666667,3.6606666666666667
2009,23.45,14.392,29.823666666666668,1.2176666666666667,2.647333333333333
2008,-38.49,23.316333333333333,17.816333333333333,2.049,4.254666666666667
2007,3.53,40.98833333333334,20.417333333333332,2.3446666666666665,5.008
