year,annual_change,initialPE,initialFCF,initialPB,initialPS
2020,16.26,32.14861111111111,33.54222222222222,-1.368888888888889,1.755
2019,28.88,19.590655737704918,20.125573770491805,7.70655737704918,1.9211475409836065
2018,-6.24,24.085573770491802,23.325901639344263,5.593934426229508,2.0542622950819673
2017,19.42,31.734166666666667,34.226,4.051,1.9041666666666666
2016,9.54,29.755084745762712,22.102033898305084,9.67,2.001864406779661
2015,-0.73,21.8064406779661,26.529661016949152,4.99593220338983,1.9498305084745764
2014,11.39,32.71551724137931,30.036724137931035,6.291379310344827,1.953103448275862
2013,29.6,23.93719298245614,23.103859649122807,4.833859649122807,1.5694736842105264
2012,13.41,18.985535714285714,24.903214285714284,3.20125,1.5405357142857143
2011,0.0,23.76185185185185,35.65222222222222,1.6637037037037037,1.352962962962963
2010,12.78,21.835471698113206,11.47754716981132,2.1881132075471696,1.040754716981132
2009,23.45,10.627735849056604,20.164528301886794,2.1737735849056605,0.6522641509433962
2008,-38.49,21.129615384615384,37.447884615384616,4.537884615384615,1.4321153846153847
2007,3.53,18.38392156862745,25.435098039215685,4.042745098039216,1.5768627450980393
