code,industry,stockratio,initialPE,initialFCF,initialPB,initialPS
MMM,Industrials,73.0672804486315,17.03,16.48,6.86,2.73
ABMD,Health Care,195.40614273531912,31.79,65.06,11.09,13.2
ACN,Information Technology,137.82186587677566,20.63,18.87,9.92,2.01
ADBE,Information Technology,284.66906019274995,73.76,34.55,6.5,9.66
AMD,Information Technology,1738.8076753725836,0.0,0.0,-5.52,0.56
A,Health Care,154.09704837997003,30.24,28.3,2.87,2.99
APD,Materials,138.24811126336508,17.78,21.73,3.09,3.28
ARE,Real Estate,123.96522155947926,47.7,0.0,1.33,6.63
ALXN,Health Care,44.57018487357421,250.99,105.9,5.2,15.54
GOOGL,Communication Services,122.58131951400173,33.94,34.78,4.44,7.72
GOOG,Communication Services,125.61687905105839,33.11,33.93,4.33,7.53
AMZN,Consumer Discretionary,262.20994258167445,545.07,43.27,23.79,3.0
AXP,Financials,102.62822159459914,12.7,6.84,2.99,1.87
ABC,Health Care,56.002508707314234,59.87,5.91,15.01,0.15
AMGN,Health Care,87.94612851901002,15.57,11.49,3.79,5.0
APH,Information Technology,143.00278777085785,20.65,18.16,4.67,2.83
ADI,Information Technology,120.07266880691331,24.31,22.48,3.29,4.93
AOS,Industrials,83.90544460296132,22.4,22.71,4.32,2.5
AAPL,Information Technology,296.19606055744566,10.34,8.72,4.21,2.38
AMAT,Information Technology,207.20412481818076,13.84,20.05,2.36,1.98
APTV,Consumer Discretionary,104.10718990665744,13.49,15.89,6.93,1.29
AJG,Financials,185.13890219894327,17.82,10.73,1.74,1.16
ATO,Utilities,92.0342488816503,17.91,0.0,1.75,1.61
ADSK,Information Technology,232.23144715986473,0.0,28.54,7.18,5.02
ADP,Information Technology,126.63956490339652,23.58,20.7,8.26,3.16
AZO,Consumer Discretionary,78.98357494674448,21.11,23.25,-13.34,2.44
BAX,Health Care,120.84806760318045,20.65,23.11,2.23,1.99
BDX,Health Care,94.76379668551748,43.94,23.5,4.21,2.69
BBY,Consumer Discretionary,202.11978882723182,11.31,10.61,2.22,0.26
BIIB,Health Care,47.18631289250421,18.41,19.93,6.58,6.13
BA,Industrials,89.87673173540462,17.42,12.95,13.51,0.94
BMY,Health Care,56.68090387436673,61.39,77.81,6.86,6.02
AVGO,Information Technology,178.44584497225992,22.03,16.19,6.2,4.38
BR,Information Technology,169.47228870398507,20.58,18.89,6.19,2.17
BF.B,Consumer Staples,96.84077648891399,30.13,36.19,14.07,6.62
CPB,Consumer Staples,57.27153936109563,21.15,15.55,9.67,1.71
CAH,Health Care,38.01793337617852,18.7,9.85,3.76,0.23
KMX,Consumer Discretionary,88.77298710334357,19.23,0.0,3.89,0.81
CCL,Consumer Discretionary,24.658811283434833,19.51,15.26,1.43,2.19
CTLT,Health Care,226.24628503028558,14.06,34.32,5.13,1.7
CE,Materials,116.10519025218957,31.88,26.97,3.14,1.63
CMG,Consumer Discretionary,157.25226157605152,31.8,35.48,6.94,3.36
CTAS,Industrials,223.07033091880282,15.33,30.11,4.86,2.16
CSCO,Information Technology,79.51209497478462,13.1,10.75,2.06,2.53
CTXS,Information Technology,120.31544574163905,29.27,10.07,4.59,3.6
CLX,Consumer Staples,98.28516943262018,21.39,22.71,72.66,2.59
CMS,Utilities,106.14735743058807,16.42,112.92,2.16,1.33
CTSH,Information Technology,77.57665079666383,21.7,18.35,3.76,2.83
CMCSA,Communication Services,110.69711788938554,15.82,11.94,2.32,1.74
CMA,Financials,85.14310169093997,12.27,8.66,0.83,2.3
CAG,Consumer Staples,69.93704815495954,0.0,9.66,3.49,1.48
STZ,Consumer Staples,84.95759210735517,25.97,40.8,3.97,4.67
COO,Health Care,114.09397362726791,36.75,50.61,2.75,4.16
CPRT,Industrials,331.5965423174301,21.3,25.6,4.28,4.13
COST,Consumer Staples,144.69984431991057,26.84,44.86,5.69,0.54
CMI,Industrials,163.02773090526398,9.64,9.99,1.7,0.71
DHI,Consumer Discretionary,124.53445543947181,14.58,13.55,1.83,1.02
DRI,Consumer Discretionary,119.04680995579184,17.15,6.6,3.17,0.92
DVA,Health Care,91.64098869040592,56.67,17.35,2.88,1.51
DE,Industrials,175.06446643848636,12.16,5.72,3.28,0.82
DXCM,Health Care,245.64379284840473,0.0,416.37,30.25,16.21
DG,Consumer Discretionary,176.40137123239768,16.82,23.38,3.5,0.96
DLTR,Consumer Discretionary,75.04567882161707,53.24,83.99,3.71,1.14
DOV,Industrials,154.2057011250179,8.17,8.76,1.89,1.02
EBAY,Consumer Discretionary,102.448179205252,18.66,9.55,4.81,3.79
EW,Health Care,188.54002816121542,35.18,38.92,6.8,6.97
EA,Communication Services,113.85633315836729,35.74,23.25,7.06,5.16
EMR,Industrials,106.92916041962117,10.78,14.01,3.49,1.95
EL,Consumer Staples,173.4067531744897,26.77,22.65,8.53,2.88
EXPE,Consumer Discretionary,60.52688217413051,20.7,27.46,3.63,2.37
FFIV,Information Technology,98.73900185781893,18.97,10.84,5.28,3.57
FB,Communication Services,142.02118287223357,81.77,38.3,6.71,16.65
FAST,Industrials,150.5010060478758,19.83,25.31,5.64,2.65
FRT,Real Estate,37.235989484581836,41.19,99.17,4.85,11.51
FDX,Industrials,104.31320519158551,40.21,63.17,2.74,0.88
F,Consumer Discretionary,44.618076273977245,6.5,4.75,1.51,0.29
