code,industry,stockratio,initialPE,initialFCF,initialPB,initialDE
MMM,Industrials,116.63,10.42,14.78,3.9,1.14
MMM,Industrials,126.21,10.46,14.63,3.53,1.1
MMM,Industrials,272.4,8.4,9.22,2.76,1.5
MMM,Industrials,194.18,13.52,10.48,3.26,1.05
MMM,Industrials,174.27,11.6,11.53,2.9,0.88
MMM,Industrials,223.64,10.65,11.52,2.78,0.99
MMM,Industrials,254.25,11.73,13.5,2.82,0.88
MMM,Industrials,135.32,17.01,18.53,4.23,0.87
MMM,Industrials,115.22,18.32,17.24,6.63,1.38
ABT,Health Care,120.65,16.43,7.14,1.99,1.57
ABT,Health Care,125.69,9.2,9.4,1.85,1.23
ABT,Health Care,158.54,6.56,5.6,1.81,1.42
ABT,Health Care,163.45,5.71,5.29,1.41,1.27
ABT,Health Care,188.63,6.4,3.82,1.29,1.66
ABT,Health Care,141.82,7.57,4.78,1.45,1.46
ABT,Health Care,179.18,7.18,5.67,1.58,1.51
ABT,Health Care,184.82,20.47,23.95,2.03,0.7
ABT,Health Care,200.55,26.72,23.4,2.77,0.9
ABBV,Health Care,183.21,15.32,10.89,13.86,5.5
ABBV,Health Care,155.05,46.04,27.51,45.84,14.79
ABMD,Health Care,127.2,0.0,0.0,6.61,0.31
ABMD,Health Care,86.27,0.0,0.0,4.87,0.21
ABMD,Health Care,159.3,0.0,0.0,4.77,0.13
ABMD,Health Care,376.33,0.0,0.0,2.97,0.18
ABMD,Health Care,828.17,0.0,0.0,3.6,0.23
ABMD,Health Care,550.93,0.0,0.0,6.11,0.19
ABMD,Health Care,1237.92,39.53,24.93,3.84,0.21
ABMD,Health Care,1067.74,140.74,61.66,6.63,0.21
ABMD,Health Care,420.16,86.5,50.14,7.99,0.23
ACN,Information Technology,181.34,15.3,9.33,12.22,4.35
ACN,Information Technology,215.5,12.7,11.24,10.29,4.47
ACN,Information Technology,271.12,8.74,6.65,9.16,4.28
ACN,Information Technology,202.5,13.89,9.53,7.09,2.68
ACN,Information Technology,244.0,12.65,10.03,7.45,2.89
ACN,Information Technology,208.23,13.6,10.51,7.93,2.62
ACN,Information Technology,215.94,14.69,12.76,7.9,2.29
ACN,Information Technology,207.06,13.47,14.75,8.28,2.05
ACN,Information Technology,239.4,16.58,13.78,8.4,1.93
ATVI,Communication Services,142.71,70.24,0.0,3.1,0.34
