code,Unnamed: 0,industry,price,pe-ratio,price-fcf,price-book,price-sales
MMM,0,Industrials,177.63,0.36080037380675434,0.4954636619108127,0.7407826999650134,0.6550219941348973
ABT,1,Health Care,122.38,1.7690493328212424,1.5364541327964383,0.6409543008513403,1.2896383186705767
ABBV,2,Health Care,108.69,0.7167149092182089,0.39113852319034825,1.1708844942771937,0.8141862170087976
ABMD,3,Health Care,323.78,1.3858868525129235,2.023843093567896,1.0831847791679854,3.7138318670576727
ACN,4,Information Technology,259.27,0.6000185383150868,0.6430691987382191,0.8322143178448261,0.7652126099706744
ATVI,5,Communication Services,95.69,0.8247671044988775,1.2370442145491607,0.47954950602269125,1.8773216031280544
ADBE,6,Information Technology,476.62,0.826270439389739,1.4066129384756123,1.60565116705263,3.6709799608993148
AMD,7,Information Technology,86.94,0.8009016631064515,4.362276543525057,1.683088149542675,2.2099340175953075
AAP,8,Consumer Discretionary,166.15,0.567696838161565,0.5552164503420386,0.2817586591806474,0.2305840664711632
AES,9,Utilities,28.0,,0.9696101128137287,0.42636989154157573,0.3999511241446725
AFL,10,Financials,49.85,0.17551434850807737,0.20057557630157413,0.10076137480632424,0.32853128054740954
A,11,Health Care,125.02,1.4067456241236265,1.5690759253994317,0.732385918731153,1.4345185728250243
APD,12,Materials,263.26,0.5806631015952453,2.646241057389367,0.41610715892241307,1.3304496578690124
AKAM,13,Information Technology,97.54,0.6840173753419717,1.0293629012449546,0.36106159305599517,1.0284457478005864
ALK,14,Industrials,67.45,,2.2011635305881283,0.22484714192892724,0.47953323558162264
ALB,15,Materials,160.9,0.4903064107590919,0.0,0.3694583742898555,1.1202712609970673
ARE,16,Real Estate,163.91,0.4903064107590919,0.0,0.1558069406727421,2.211974584555229
ALXN,17,Health Care,154.49,1.075260280688671,0.382417845959845,0.27149592656148475,1.1508797653958942
ALGN,18,Health Care,573.26,0.5267309623855898,4.1742975010008765,1.390133782050214,3.7485215053763437
ALLE,19,Industrials,109.33,0.8632900610772027,0.7393196363193288,1.1177048797960782,0.7611314760508308
LNT,20,Utilities,47.53,0.4903064107590919,0.0,0.1875281142228812,0.7060361681329422
ALL,21,Financials,108.36,0.22550023362922145,0.2215697992638967,0.11289005881078919,0.15508308895405667
GOOGL,22,Communication Services,2083.81,1.075824031272744,1.1517753705175737,0.589640637755527,1.7099951124144672
GOOG,23,Communication Services,2095.17,1.0816494539748323,1.1582351314290575,0.5933725405261316,1.720197947214076
MO,24,Consumer Staples,45.0,0.6218168942325782,0.33170872280469665,2.4145410925811768,0.6529814271749755
AMZN,25,Consumer Discretionary,3159.53,2.1448830555366114,1.677922896757935,1.5869916531996069,0.8509164222873898
AMCR,26,Materials,11.41,0.8933567588944323,0.5400360122000514,0.34240207920297216,0.29588220918866076
