,code,industry,price,pe-ratio,price-fcf,price-book,price-sales
100,CVX,Energy,103.31,0.0,66.2,1.46,2.04
101,CMG,Consumer Discretionary,1449.06,115.92,141.75,20.09,6.87
102,CB,Financials,170.66,69.66,8.95,1.37,2.15
103,CHD,Consumer Staples,79.55,25.58,22.33,6.46,4.09
104,CI,Health Care,214.94,18.43,10.31,1.74,0.49
105,CINF,Financials,100.89,95.18,11.47,1.66,2.17
106,CTAS,Industrials,338.31,37.97,31.72,9.87,5.24
107,CSCO,Information Technology,45.74,19.22,13.45,4.94,4.04
108,C,Financials,68.60,23.25,0.0,0.73,1.62
109,CFG,Financials,46.38,37.4,0.0,0.88,2.59
110,CTXS,Information Technology,137.00,34.34,19.32,149.68,5.35
111,CLX,Consumer Staples,183.29,24.37,16.97,16.7,3.12
112,CME,Financials,200.70,42.79,27.87,2.66,14.73
113,CMS,Utilities,54.57,20.67,0.0,2.59,2.34
114,KO,Consumer Staples,50.71,34.97,29.15,10.73,6.64
115,CTSH,Information Technology,74.93,29.16,13.97,3.66,2.44
116,CL,Consumer Staples,76.64,24.49,19.9,59.16,4.0
117,CMCSA,Communication Services,53.40,23.42,17.56,2.67,2.38
118,CMA,Financials,72.07,22.04,11.88,1.25,3.26
119,CAG,Consumer Staples,35.24,15.52,11.51,2.03,1.5
120,COP,Energy,54.67,0.0,27.39,1.91,3.06
121,ED,Utilities,66.65,21.09,0.0,1.12,1.82
122,STZ,Consumer Staples,223.93,21.8,19.88,3.17,5.38
123,COO,Health Care,392.57,81.62,110.51,5.04,8.01
124,CPRT,Industrials,110.56,51.66,76.08,9.63,11.58
125,GLW,Information Technology,38.63,82.19,31.51,2.29,2.83
126,CTVA,Materials,46.41,51.57,20.85,1.38,2.45
127,COST,Consumer Staples,340.70,34.98,23.57,9.86,0.87
128,CCI,Real Estate,161.20,137.78,61.33,7.31,11.73
129,CSX,Industrials,93.37,25.94,27.48,5.61,6.78
130,CMI,Industrials,259.12,21.61,17.6,4.25,1.95
131,CVS,Health Care,70.40,14.92,7.31,1.33,0.34
132,DHI,Consumer Discretionary,80.05,15.22,27.63,2.28,1.33
133,DHR,Health Care,223.00,69.47,36.24,4.17,7.2
134,DRI,Consumer Discretionary,138.78,0.0,47.68,7.37,2.58
135,DVA,Health Care,102.89,16.36,9.31,7.22,1.11
136,DE,Industrials,345.66,48.89,12.96,8.38,2.95
137,DAL,Industrials,49.60,0.0,0.0,9.42,1.85
138,XRAY,Health Care,54.00,0.0,20.75,2.48,3.54
139,DVN,Energy,22.27,0.0,20.14,2.71,1.75
140,DXCM,Health Care,405.64,285.66,142.99,21.34,20.45
141,FANG,Energy,73.80,0.0,56.15,1.09,3.75
142,DLR,Real Estate,135.15,140.78,22.66,2.06,9.07
143,DFS,Financials,97.96,27.29,5.07,2.76,2.32
144,DISCA,Communication Services,51.86,25.17,11.71,2.22,3.34
145,DISCK,Communication Services,43.53,21.13,9.83,1.86,2.8
146,DISH,Communication Services,31.40,12.76,6.2,1.3,1.27
147,DG,Consumer Discretionary,192.61,19.09,16.07,6.76,1.5
148,DLTR,Consumer Discretionary,101.13,24.97,14.78,3.42,0.96
149,D,Utilities,71.17,0.0,335.71,2.07,3.89
150,DPZ,Consumer Discretionary,364.59,31.24,32.58,0.0,3.76
151,DOV,Industrials,125.50,26.7,19.28,5.33,2.73
152,DOW,Materials,63.69,39.31,8.02,3.64,1.22
153,DTE,Utilities,123.90,17.55,0.0,1.92,1.96
154,DUK,Utilities,87.34,47.21,0.0,1.36,3.55
155,DRE,Real Estate,40.35,115.29,0.0,2.95,15.21
156,DD,Materials,71.68,0.0,16.92,1.38,2.59
157,DXC,Information Technology,26.02,0.0,52.01,1.1,0.37
158,EMN,Materials,113.37,34.67,11.76,2.49,1.83
159,ETN,Industrials,132.68,57.44,21.74,3.64,3.0
160,EBAY,Consumer Discretionary,59.38,7.7,22.15,11.41,4.17
161,ECL,Materials,216.19,0.0,45.41,10.2,5.08
162,EIX,Utilities,56.47,57.04,0.0,1.37,1.54
163,EW,Health Care,84.45,64.96,82.44,11.53,12.13
164,EA,Communication Services,137.68,34.16,20.95,4.98,7.11
165,EMR,Industrials,88.97,32.83,18.42,5.97,3.2
166,ENPH,Information Technology,180.87,200.97,131.11,48.19,32.23
167,ETR,Utilities,89.97,13.06,0.0,1.63,1.76
168,EOG,Energy,72.37,0.0,21.0,2.1,3.39
169,EFX,Industrials,170.70,48.49,44.03,7.0,5.08
170,EQIX,Real Estate,639.00,175.55,460.37,5.39,9.41
171,EQR,Real Estate,69.35,28.31,15.59,2.4,10.41
172,ESS,Real Estate,270.13,37.62,44.42,2.81,11.83
173,EL,Consumer Staples,294.34,2452.83,44.71,19.56,7.59
174,ETSY,Consumer Discretionary,209.10,116.17,55.94,39.41,19.97
175,EVRG,Utilities,54.55,19.62,41.99,1.41,2.54
176,ES,Utilities,80.11,28.92,0.0,1.96,3.06
177,RE,Financials,244.72,21.75,3.8,1.02,1.02
178,EXC,Utilities,40.19,16.54,0.0,1.12,1.18
179,EXPE,Consumer Discretionary,162.78,0.0,0.0,5.81,4.42
180,EXPD,Industrials,92.06,31.53,25.08,6.22,1.55
181,EXR,Real Estate,127.10,37.72,35.96,5.93,12.63
182,XOM,Energy,56.70,0.0,0.0,1.3,1.33
183,FFIV,Information Technology,189.50,39.4,19.1,4.86,4.85
184,FB,Communication Services,264.31,26.17,32.3,5.87,8.86
185,FAST,Industrials,46.90,31.48,28.59,9.85,4.78
186,FRT,Real Estate,106.02,265.05,0.0,3.19,9.57
187,FDX,Industrials,260.06,28.3,24.39,3.28,0.92
188,FIS,Information Technology,139.44,581.0,26.39,1.75,6.95
189,FITB,Financials,36.25,34.52,8.48,1.13,3.11
190,FE,Utilities,34.25,22.1,0.0,2.59,1.72
191,FRC,Financials,178.23,42.33,0.0,2.71,6.85
192,FISV,Information Technology,119.07,124.03,22.38,2.46,5.48
193,FLT,Information Technology,290.19,51.0,16.77,8.24,10.54
194,FLIR,Information Technology,54.71,52.1,30.55,3.97,3.87
195,FLS,Industrials,38.75,39.14,21.97,2.96,1.33
196,FMC,Materials,104.97,27.34,22.69,4.59,2.95
197,F,Consumer Discretionary,12.27,0.0,2.63,1.63,0.38
198,FTNT,Information Technology,169.85,83.67,33.95,38.65,10.97
199,FTV,Industrials,67.64,66.97,15.22,2.97,3.58
200,FBHS,Industrials,87.25,31.5,18.19,4.61,2.01
201,FOXA,Communication Services,34.04,15.76,8.87,1.84,1.63
202,FOX,Communication Services,32.74,15.16,8.53,1.77,1.57
203,BEN,Financials,27.93,31.03,11.57,1.24,2.23
204,FCX,Materials,37.89,97.15,52.42,3.23,3.89
205,GPS,Consumer Discretionary,25.95,0.0,12.04,4.09,0.7
206,GRMN,Consumer Discretionary,128.45,37.45,25.9,4.46,5.89
207,IT,Information Technology,183.16,112.37,26.97,15.78,4.02
208,GD,Industrials,168.06,22.38,16.74,3.07,1.28
209,GE,Industrials,13.12,23.02,57.75,3.1,1.44
210,GIS,Consumer Staples,56.20,14.41,11.1,3.88,1.89
211,GM,Consumer Discretionary,52.90,22.13,8.0,1.49,0.62
212,GPC,Consumer Discretionary,106.31,0.0,11.02,5.05,0.91
213,GILD,Health Care,63.71,0.0,9.94,4.57,3.25
214,GL,Financials,98.32,20.07,7.77,1.26,2.23
215,GPN,Information Technology,204.27,152.44,67.71,2.19,8.27
216,GS,Financials,330.64,17.36,8.21,1.23,2.66
217,GWW,Industrials,385.57,39.75,24.1,8.71,1.76
218,HAL,Energy,22.27,0.0,13.63,3.96,1.36
219,HBI,Consumer Discretionary,18.25,0.0,16.28,7.82,0.97
220,HIG,Financials,53.15,16.16,5.35,1.07,0.93
221,HAS,Consumer Discretionary,90.91,106.95,19.68,4.44,2.29
222,HCA,Health Care,175.43,25.8,5.05,45.7,1.17
223,PEAK,Real Estate,31.30,61.37,165.26,2.29,10.09
224,HSIC,Health Care,65.01,35.72,16.95,2.32,0.92
225,HSY,Consumer Staples,147.57,24.15,24.54,13.73,3.79
226,HES,Energy,68.80,0.0,0.0,3.07,4.36
227,HPE,Information Technology,14.84,0.0,34.29,1.19,0.71
228,HLT,Consumer Discretionary,127.26,0.0,53.63,0.0,8.25
229,HFC,Energy,38.45,0.0,31.37,1.06,0.5
230,HOLX,Health Care,75.15,27.13,15.64,5.92,4.36
231,HD,Consumer Discretionary,259.97,22.49,15.51,182.23,2.24
232,HON,Industrials,211.03,31.4,28.01,8.27,4.6
233,HRL,Consumer Staples,46.88,38.43,33.61,3.94,2.65
234,HST,Real Estate,17.12,0.0,0.0,1.88,7.47
235,HWM,Industrials,30.14,,,3.65,
236,HPQ,Information Technology,27.97,13.99,10.62,0.0,0.71
237,HUM,Health Care,381.40,15.08,10.85,3.58,0.66
238,HBAN,Financials,16.22,37.72,9.25,1.28,3.2
239,HII,Industrials,188.10,17.13,10.32,4.01,0.82
240,IEX,Industrials,197.93,54.53,29.63,6.25,6.41
241,IDXX,Health Care,532.88,79.42,85.4,71.96,17.06
242,INFO,Industrials,91.16,42.01,27.3,4.24,8.54
243,ITW,Industrials,203.45,30.69,25.09,20.25,5.15
244,ILMN,Health Care,461.05,103.61,76.58,14.34,21.07
245,INCY,Health Care,80.61,0.0,0.0,6.78,6.61
246,IR,Industrials,48.10,0.0,31.12,2.27,4.01
247,INTC,Information Technology,63.19,12.79,12.78,3.17,3.46
248,ICE,Financials,111.46,39.39,25.03,3.2,10.21
249,IBM,Information Technology,123.21,26.1,8.18,5.15,1.5
250,IP,Materials,50.80,61.2,9.25,2.81,0.97
251,IPG,Communication Services,27.00,45.0,8.43,3.81,1.17
252,IFF,Materials,138.15,52.33,28.12,2.43,3.09
253,INTU,Information Technology,413.18,55.46,44.54,20.7,13.93
254,ISRG,Health Care,758.71,86.12,79.83,9.15,20.91
255,IVZ,Financials,23.26,34.21,10.33,0.74,1.75
256,IPGP,Information Technology,231.08,112.72,51.16,4.98,10.33
257,IQV,Health Care,194.59,136.08,28.25,5.92,3.33
258,IRM,Real Estate,34.65,75.33,14.74,10.65,2.4
259,JKHY,Information Technology,151.64,51.4,33.08,7.47,6.79
260,J,Industrials,119.75,66.53,16.86,2.53,1.16
261,JBHT,Industrials,146.66,44.44,30.2,6.23,1.62
262,SJM,Consumer Staples,113.22,14.67,9.61,1.52,1.59
263,JNJ,Health Care,162.59,33.45,23.53,6.64,5.25
264,JCI,Industrials,56.10,87.66,18.69,2.15,1.89
265,JPM,Financials,153.26,30.17,15.97,1.72,3.65
266,JNPR,Information Technology,23.75,31.25,15.56,1.71,1.79
267,KSU,Industrials,218.81,33.41,34.24,4.54,7.89
268,K,Consumer Staples,58.61,19.28,14.83,5.62,1.47
269,KEY,Financials,21.54,30.77,12.99,1.19,2.86
270,KEYS,Information Technology,143.64,58.63,30.2,8.07,6.3
271,KMB,Consumer Staples,130.81,19.04,17.62,50.98,2.34
272,KIM,Real Estate,19.15,10.64,19.33,1.5,7.8
273,KMI,Energy,15.72,314.4,9.13,1.12,3.04
274,KLAC,Information Technology,328.43,56.43,29.02,17.16,8.48
275,KHC,Consumer Staples,37.60,129.66,10.66,0.92,1.76
276,KR,Consumer Staples,32.75,8.73,6.71,2.5,0.2
277,LB,Consumer Discretionary,51.65,0.0,8.13,0.0,1.23
278,LHX,Industrials,191.38,44.82,31.96,1.87,2.27
279,LH,Health Care,244.50,39.0,15.79,2.89,1.71
280,LRCX,Information Technology,596.90,29.61,42.23,15.52,7.38
281,LW,Consumer Staples,83.59,41.38,28.89,29.92,3.46
282,LVS,Consumer Discretionary,64.81,0.0,0.0,14.0,13.71
283,LEG,Consumer Discretionary,44.47,41.95,11.13,4.53,1.41
284,LDOS,Information Technology,90.38,21.27,10.77,3.45,1.09
285,LEN,Consumer Discretionary,86.25,10.97,6.48,1.49,1.19
286,LLY,Health Care,204.52,30.08,36.51,33.59,7.6
287,LNC,Financials,59.40,24.65,21.63,0.5,0.67
288,LIN,Materials,254.61,78.1,36.05,2.75,4.96
289,LYV,Communication Services,90.49,0.0,0.0,77.85,4.22
290,LKQ,Consumer Discretionary,39.98,26.65,11.73,2.25,1.05
291,LMT,Industrials,346.53,19.34,15.19,16.01,1.49
292,L,Financials,50.38,0.0,12.84,0.71,1.13
293,LOW,Consumer Discretionary,162.31,22.96,12.15,29.97,1.44
294,LUMN,Communication Services,12.45,12.7,4.48,1.0,0.65
295,LYB,Materials,107.33,63.51,25.74,4.89,1.81
296,MTB,Financials,162.13,25.25,20.57,1.29,3.32
297,MRO,Energy,11.84,0.0,127.72,0.86,2.69
298,MPC,Energy,56.65,0.0,0.0,1.25,0.49
299,MKTX,Financials,545.46,91.83,94.49,23.07,30.19
300,MAR,Consumer Discretionary,157.50,0.0,29.09,118.67,4.87
301,MMC,Financials,119.02,30.13,20.05,6.53,3.53
302,MLM,Materials,347.57,40.37,33.99,3.76,4.59
303,MAS,Industrials,53.81,14.09,16.91,33.0,1.98
304,MA,Information Technology,367.32,57.57,51.64,62.54,24.15
305,MKC,Consumer Staples,84.80,41.67,27.97,5.74,4.07
306,MXIM,Information Technology,96.75,48.62,35.73,13.46,11.13
307,MCD,Consumer Discretionary,213.27,47.71,37.38,0.0,8.33
308,MCK,Health Care,181.29,14.97,6.17,0.0,0.13
309,MDT,Health Care,118.74,45.32,33.76,3.18,5.76
310,MRK,Health Care,74.57,20.71,28.44,6.44,3.95
311,MET,Financials,59.56,10.81,4.76,0.73,0.8
312,MTD,Health Care,1127.60,45.18,42.95,93.63,8.86
313,MGM,Consumer Discretionary,38.63,0.0,0.0,1.63,3.71
314,MCHP,Information Technology,157.25,137.94,23.67,7.99,7.84
315,MU,Information Technology,92.52,34.91,0.0,2.59,4.75
316,MSFT,Information Technology,234.55,50.12,35.58,13.59,11.71
317,MAA,Real Estate,140.51,63.87,31.69,2.63,9.59
