,code,industry,price,pe-ratio,price-fcf,price-book,price-sales
435,TFX,Health Care,400.39,51.53,61.85,5.76,7.54
436,TER,Information Technology,134.19,41.54,38.3,11.18,7.87
437,TSLA,Consumer Discretionary,742.02,1185.34,288.44,30.87,24.98
438,TXN,Information Technology,179.39,30.05,30.46,17.95,11.57
439,TXT,Industrials,53.48,167.13,17.15,2.13,1.05
440,TMO,Health Care,456.66,47.03,31.96,5.69,5.66
441,TJX,Consumer Discretionary,69.86,116.43,14.66,15.07,2.54
442,TSCO,Consumer Discretionary,161.08,25.25,17.16,9.73,1.78
443,TT,Industrials,155.35,44.13,29.3,5.77,3.03
444,TDG,Industrials,609.15,88.41,36.46,0.0,7.28
445,TRV,Financials,150.96,14.38,6.0,1.3,1.2
446,TRMB,Information Technology,76.05,90.54,35.27,5.68,6.1
447,TFC,Financials,60.17,27.47,22.64,1.16,3.35
448,TWTR,Communication Services,71.92,0.0,440.42,7.18,15.3
449,TYL,Information Technology,473.19,139.17,62.98,12.0,17.6
450,TSN,Consumer Staples,68.87,15.87,7.87,1.59,0.59
451,UDR,Real Estate,43.43,217.15,34.9,3.84,10.32
452,ULTA,Consumer Discretionary,334.08,84.36,30.78,10.15,3.05
453,USB,Financials,52.81,24.91,16.89,1.5,3.16
454,UAA,Consumer Discretionary,21.89,0.0,212.11,6.77,2.23
455,UA,Consumer Discretionary,18.30,0.0,177.33,5.66,1.84
456,UNP,Industrials,211.15,26.8,24.89,8.36,7.36
457,UAL,Industrials,54.96,0.0,0.0,2.28,0.96
458,UNH,Health Care,332.21,24.2,15.9,4.63,1.24
459,UPS,Industrials,160.07,29.75,19.98,24.66,1.65
460,URI,Industrials,312.52,38.44,9.5,4.96,2.67
461,UHS,Health Care,137.94,13.52,6.4,1.94,1.05
462,UNM,Financials,27.80,7.16,11.84,0.52,0.43
463,VLO,Energy,78.16,0.0,0.0,1.59,0.49
464,VAR,Health Care,175.80,58.21,37.09,7.18,5.16
465,VTR,Real Estate,55.92,64.28,15.24,2.03,5.55
466,VRSN,Information Technology,195.51,34.48,33.28,0.0,17.82
467,VRSK,Industrials,167.53,41.47,35.57,11.26,10.11
468,VZ,"Communication Services
",57.12,17.96,10.9,3.55,1.84
469,VRTX,Health Care,217.04,21.07,19.1,6.49,9.22
470,VFC,Consumer Discretionary,81.96,0.0,35.17,10.21,3.68
471,VIAC,Communication Services,65.60,29.82,22.65,2.65,1.56
472,VTRS,Health Care,15.30,29.42,4.77,0.63,0.69
473,V,Information Technology,219.43,45.34,57.69,11.37,25.26
474,VNT,Information Technology,32.42,,,,
475,VNO,Real Estate,44.60,0.0,0.0,1.24,5.58
476,VMC,Materials,174.15,49.33,29.4,3.89,4.78
477,WRB,Financials,71.26,25.09,9.75,2.1,1.66
478,WAB,Industrials,74.74,43.71,17.38,1.41,1.88
479,WMT,Consumer Staples,133.21,24.35,15.59,4.31,0.68
480,WBA,Consumer Staples,49.17,0.0,8.59,2.07,0.3
481,DIS,Communication Services,197.51,0.0,136.09,3.96,5.9
482,WM,Industrials,111.87,44.93,22.17,6.61,3.12
483,WAT,Health Care,279.90,57.47,33.69,0.0,7.38
484,WEC,Utilities,81.93,27.04,402.8,2.45,3.58
485,WFC,Financials,38.29,0.0,4.34,0.87,1.97
486,WELL,Real Estate,73.60,37.94,7.12,1.82,6.66
487,WST,Health Care,278.92,84.78,76.46,11.99,9.84
488,WDC,Information Technology,70.53,128.24,97.46,2.2,1.31
489,WU,Information Technology,23.79,17.49,13.13,145.68,2.04
490,WRK,Materials,44.87,0.0,7.26,1.08,0.67
491,WY,Real Estate,35.90,52.79,25.94,3.14,3.57
492,WHR,Consumer Discretionary,193.52,11.38,9.75,2.59,0.63
493,WMB,Energy,23.91,132.83,14.57,1.95,3.75
494,WLTW,Financials,225.64,56.55,21.49,2.74,3.14
495,WYNN,Consumer Discretionary,134.21,0.0,0.0,0.0,6.83
496,XEL,Utilities,60.21,21.66,0.0,2.22,2.76
497,XRX,Information Technology,25.32,51.67,7.82,0.92,0.75
498,XLNX,Information Technology,133.81,73.52,29.78,12.62,10.91
499,XYL,Industrials,101.09,174.29,27.91,6.33,5.22
500,YUM,Consumer Discretionary,104.68,56.28,29.42,0.0,5.69
501,ZBRA,Information Technology,512.69,90.58,30.88,12.78,6.21
502,ZBH,Health Care,163.69,0.0,44.58,2.86,4.85
503,ZION,Financials,56.78,40.85,13.15,1.21,3.21
504,ZTS,Health Care,159.05,59.57,44.93,20.04,11.4
