stock,initialPE,initialFCF,initialPB,initialPS,industry,prediction,actual
EA,9.325162148792131,1.4697408743643392,1.4747858518434602,1.100687582345191,Communication Services,254.2,46.13361962557679
AKAM,7.760282019805972,7.4304681132965715,3.2724103976228025,4.723423089591568,Information Technology,194.81,68.53940566201354
DXCM,0.0,0.0,1.7939559242573433,27.07734786725955,Health Care,189.18,106.4970653580516
DISH,0.9786526992735368,0.7153073333937022,-20.73504884233641,0.2751718955862977,Communication Services,172.29,112.42350253044528
SNPS,6.383418911862513,1.0579124587148092,0.9978650539836348,0.6478456439393939,Information Technology,185.71,134.3340763092222
LVS,11.715839774678196,0.0,2.6954141959931235,3.3107671563807965,Consumer Discretionary,214.51,50.037786594004
JNPR,2.574372809481237,1.1638103479629522,0.7025016666081892,2.357425770386808,Information Technology,165.13,61.02151189073352
AAL,0.0,0.1135316138984517,0.3238482860250518,0.071799769656451,Industrials,136.6,94.49997216650276
WBA,0.7319240171839521,2.872127220623185,0.5804357741833621,0.1954549285092277,Consumer Staples,149.65,105.32873655503236
GOOGL,2.9338750128563174,2.8952787654181638,2.384021613276728,5.2653164414730735,Communication Services,182.48,105.33179783681317
TAP,1.5000966047810584,2.5771563347566877,-2.9508344339056274,0.9340470900496548,Consumer Staples,148.61,64.01515820812985
XOM,0.5034280060187706,0.449291256887637,-5.666646656261249,0.369726973144655,Energy,146.05,70.25541515948329
BSX,0.0,0.9182347708638736,-2.297994957377834,0.9340470900496548,Health Care,155.97,75.8898982402618
CCL,0.4567356951738593,22.757991372635768,-1.671269059911152,0.5513472406543102,Consumer Discretionary,189.41,93.80069364628692
ATVI,21.913974906176264,1.4908608825834109,-2.297994957377834,1.459448578202586,Communication Services,398.45,106.70043928955278
JNPR,3.03459249182117,0.9157179413531086,0.7584960716411902,1.6786344908769868,Information Technology,167.25,45.70777242521292
KO,0.7598843773653229,0.7122250654968622,1.3484374606954497,1.3717873258779676,Consumer Staples,137.54,92.73212514631231
ADM,0.7692249662411078,1.5390337363239937,0.3700874552452184,0.1489111241907004,Consumer Staples,141.47,100.250050394031
ATVI,7.815875103414113,0.5572281553820577,0.4250509386974785,1.389837159113204,Communication Services,240.13,104.8366283043719
MAS,0.0,0.2824176828472204,0.465357493229136,0.2120855405140278,Industrials,137.06,109.53670375371038
FFIV,2.990174684858002,1.685256864691148,4.2261259321602616,4.981404260114956,Information Technology,169.81,45.83471012812937
BBY,0.0,42.05204168438962,0.8088900197686479,0.1222708318391852,Consumer Discretionary,223.95,58.2341378623669
DISCK,1.192864863395036,0.6637624651448557,0.363351666634045,0.9645810067313504,Communication Services,164.78,84.56456824151424
PVH,11.205518129020708,0.8643012429698946,0.7223777181891133,0.4437978340829688,Consumer Discretionary,210.83,91.9725730893286
PLD,19.32070499355327,0.1979275958221088,0.3373979761601847,2.4816450314027234,Real Estate,143.69,98.60577174051804
FFIV,1.4132037970983051,0.7247820556716652,4.709836588976287,3.4871794871794872,Information Technology,159.53,76.60162772438163
ISRG,1.5640397213402002,1.0959264899769623,4.513046759353323,5.172161172161172,Health Care,171.0,76.93299298110671
FTNT,2.353954575290179,0.9677766192640012,6.185760311148521,4.01953601953602,Information Technology,165.39,77.57217839664419
ALXN,3.264787484210933,1.9355532385280023,7.668243694308188,8.532356532356532,Health Care,178.35,96.11797608872182
UDR,37.534875682354304,2.653332569024096,1.1217020288508983,2.788766788766789,Real Estate,156.31,98.2591558766996
HST,7.422836682367028,1.3310333689744271,0.3229794234868848,0.7424228833408083,Real Estate,133.79,82.6127441378962
CCI,4.6023652197485685,2.5546678695535947,1.5010601075169154,3.1017790402152787,Real Estate,134.09,93.40242691863692
PCAR,0.5611003806490236,15.314773233538268,0.542711326350913,0.3233866547067324,Industrials,156.19,98.60119245775488
BF.B,1.060257756994567,1.3106733939231932,1.3104493002131803,1.9038819953156925,Consumer Staples,141.6,108.085384773929
FTNT,2.712587396789897,1.0999476521429206,1.7472657336175736,2.9833557582099965,Information Technology,166.55,110.8741496986744
UAA,2.3022651213583685,10.45539850792367,2.121894071197341,1.3969753815512174,Consumer Discretionary,175.87,59.68307431778494
INCY,0.0,56.49726962131319,-10.679450372469068,7.4111334985371,Health Care,216.13,92.60816303237635
AAL,0.0,0.0,-1.1471724130501528,0.0895497039455908,Industrials,135.83,97.89905453978623
BF.B,0.9329199985909044,1.139098067560554,1.899457590235547,1.7265182920709918,Consumer Staples,140.37,127.43817784004214
CCI,8.474329798851588,1.0090842803422286,0.6973008785206811,2.1312829539050626,Real Estate,135.87,129.06958955934277
UAA,2.7050738232797,7.220626621329891,1.784651370581975,1.5296190601225808,Consumer Discretionary,172.11,40.54553367480292
MHK,0.8378339649209996,4.320124079600547,0.4388768019874982,0.4761713918505261,Consumer Discretionary,154.21,55.942326309395696
FRT,1.7968664968627692,0.0,0.7697487659858856,3.545193855763849,Real Estate,132.73,70.53504223361624
CMG,1.893825350479385,1.9108387464993783,1.8086524456906667,1.712260141928262,Consumer Discretionary,156.71,77.93486392461055
PWR,0.8147671408751112,15.69650155502566,0.2331533010558584,0.2609158311509733,Industrials,154.46,91.79705596680316
