code,industry,stockratio,initialPE,initialFCF,initialPB,initialPS
C,Financials,15.645175897754,33.75,0.0,1.08,0.8
CTXS,Information Technology,144.16746497150567,25.71,16.47,3.01,3.95
CLX,Consumer Staples,131.5740493708197,13.32,10.69,-11.09,1.31
CME,Financials,67.44422425903198,28.39,28.64,1.83,10.15
CMS,Utilities,126.94744883230176,0.0,6.85,1.17,0.39
KO,Consumer Staples,130.15137441577852,15.95,16.65,4.37,3.31
CTSH,Information Technology,175.9160320717331,27.93,60.77,6.36,4.61
CL,Consumer Staples,145.55072216351272,17.87,17.42,12.69,2.25
CMCSA,Communication Services,124.94433002775342,17.4,22.25,1.05,1.46
CMA,Financials,97.40817316426406,7.07,5.82,0.91,1.05
CAG,Consumer Staples,126.07637993340903,8.05,55.18,1.33,0.64
COP,Energy,81.60014857733007,5.94,4.34,0.76,0.37
ED,Utilities,145.99328943853206,7.46,0.0,0.7,0.53
STZ,Consumer Staples,95.67296723097053,16.98,17.1,1.34,1.38
COO,Health Care,88.19671003746235,0.0,0.0,1.28,2.0
CPRT,Industrials,110.29301132778366,24.92,29.29,3.66,5.81
GLW,Information Technology,108.7679815335098,13.59,36.04,3.01,4.98
COST,Consumer Staples,119.97639003158729,20.1,42.66,2.44,0.34
CCI,Real Estate,123.56740043328702,0.0,172.87,2.67,6.64
CSX,Industrials,151.16483813170595,11.43,37.4,1.61,1.55
CMI,Industrials,98.33013922875443,12.77,18.82,2.8,0.72
CVS,Health Care,108.56757742833125,16.4,30.0,1.43,0.55
DHI,Consumer Discretionary,113.36959496593641,0.0,2.21,0.65,0.34
DHR,Health Care,113.29024828040615,15.1,13.9,2.21,1.88
DRI,Consumer Discretionary,110.00382029364467,17.41,11.67,2.61,0.59
DVA,Health Care,137.25435601398286,15.83,19.6,3.48,1.15
DE,Industrials,80.89883983593691,14.5,12.63,3.57,1.1
XRAY,Health Care,104.11692002631419,24.85,19.47,4.07,3.2
DVN,Energy,110.82582780762802,9.07,31.77,1.46,3.26
DXCM,Health Care,120.3582902811263,0.0,0.0,35.52,53.99
DLR,Real Estate,185.6446682576682,62.59,0.0,1.41,3.49
DISCA,Communication Services,180.5337701591988,0.0,286.29,0.7,8.19
DISH,Communication Services,89.14833467858914,16.42,10.75,19.33,1.13
DLTR,Consumer Discretionary,155.1029713175578,18.68,18.88,3.62,0.9
D,Utilities,118.35230798462734,6.86,0.0,1.7,1.26
DPZ,Consumer Discretionary,83.4212822705497,18.73,17.16,-0.46,0.49
DOV,Industrials,125.43010611807956,7.14,6.08,1.15,0.65
DTE,Utilities,146.8728900315438,4.54,0.0,0.72,0.53
DUK,Utilities,125.91070289572805,8.98,164.25,0.64,1.07
DRE,Real Estate,73.74046144460355,8.83,0.0,0.73,1.81
EMN,Materials,140.74358859018426,11.95,8.86,1.64,0.53
ETN,Industrials,92.64699537510813,9.65,11.94,1.8,0.74
EBAY,Consumer Discretionary,93.36919552114273,52.84,7.98,1.46,2.27
ECL,Materials,117.81173459635153,25.78,24.89,5.59,2.02
EIX,Utilities,91.87894036330468,10.49,27.45,1.21,0.89
EW,Health Care,248.9447494682682,24.73,17.66,3.12,2.65
EA,Communication Services,40.029479023704134,0.0,125.5,4.3,5.82
EMR,Industrials,106.15901825686657,13.35,12.46,3.23,1.34
ETR,Utilities,96.69830493586824,12.18,21.47,1.68,1.21
EOG,Energy,145.54506934769665,18.06,0.0,2.79,4.61
EFX,Industrials,113.1718031025277,15.31,12.48,2.87,2.27
EQIX,Real Estate,138.31613270540396,0.0,0.0,3.86,6.57
EQR,Real Estate,137.04109294459067,5.78,14.28,1.05,3.24
ESS,Real Estate,124.8231034191296,14.89,0.0,1.69,4.23
EL,Consumer Staples,150.64685250257693,16.75,19.55,5.28,1.01
EVRG,Utilities,125.61378791116636,9.06,0.0,0.86,0.87
RE,Financials,118.14267127588307,5.74,5.61,0.83,1.0
EXC,Utilities,84.61892291100209,11.94,17.89,3.14,1.73
EXPE,Consumer Discretionary,107.14562404088164,28.09,13.41,1.58,3.18
EXPD,Industrials,104.56756293119311,30.5,36.43,6.57,1.6
EXR,Real Estate,121.93809986487966,16.62,0.0,0.92,2.53
XOM,Energy,99.98429008819159,8.12,9.03,2.61,0.82
FFIV,Information Technology,244.59277846529068,33.55,16.7,2.99,4.35
FAST,Industrials,141.12571491799795,18.74,24.56,4.29,2.12
FRT,Real Estate,117.8653673293927,15.74,39.68,2.84,6.31
FDX,Industrials,114.46978786772488,13.75,47.01,1.98,0.76
FIS,Information Technology,137.43379363494284,6.76,31.53,0.99,1.01
FITB,Financials,53.90471913847112,8.4,0.0,1.04,1.14
FE,Utilities,91.89905870968708,9.36,113.6,1.34,0.96
FISV,Information Technology,115.07721355380886,21.26,23.71,3.71,2.56
FLIR,Information Technology,137.7098304131924,30.74,60.38,6.0,5.56
FLS,Industrials,132.74349198811313,17.59,13.3,3.44,1.2
FMC,Materials,137.18961566079557,27.83,23.04,3.35,1.4
F,Consumer Discretionary,195.80691720407788,0.0,0.82,1.79,0.06
BEN,Financials,127.35502063064186,10.17,15.45,2.62,2.96
FCX,Materials,105.98697182058775,10.25,6.88,1.63,1.79
GPS,Consumer Discretionary,154.88196332360548,13.9,11.55,2.25,0.7
GRMN,Consumer Discretionary,44.57272307396119,15.21,24.77,5.46,4.09
IT,Information Technology,135.2929605516756,25.45,15.32,99.38,1.64
GD,Industrials,105.51196870527657,12.84,10.75,2.24,0.98
GE,Industrials,59.561094381686544,11.05,7.21,2.07,1.43
GIS,Consumer Staples,157.78902507860926,11.8,12.29,2.31,1.06
GPC,Consumer Discretionary,117.69614661785266,10.2,8.71,1.86,0.48
GILD,Health Care,123.86642330460333,23.1,23.47,10.43,8.82
GL,Financials,98.01589248680786,6.42,4.07,0.98,0.98
GPN,Information Technology,156.81308729365657,0.0,26.97,3.35,3.92
GS,Financials,100.1949609385933,0.0,0.0,1.73,1.91
GWW,Industrials,151.6905668724038,13.77,20.24,2.58,0.91
HAL,Energy,107.5642200891006,8.41,22.08,3.99,1.95
HBI,Consumer Discretionary,116.85116517999776,17.19,7.61,7.37,0.48
HIG,Financials,38.01326752474844,7.06,3.47,1.07,0.8
HAS,Consumer Discretionary,174.2401648530773,8.73,5.89,1.84,0.78
PEAK,Real Estate,132.28332201218686,5.7,118.3,0.83,3.4
