code,industry,stockratio,initialPE,initialFCF,initialPB,initialDE
MMM,Industrials,223.64,10.65,11.52,2.78,0.99
ABT,Health Care,141.82,7.57,4.78,1.45,1.46
ABMD,Health Care,550.93,0.0,0.0,6.11,0.19
ACN,Information Technology,208.23,13.6,10.51,7.93,2.62
ATVI,Communication Services,279.74,12.35,14.93,1.23,0.27
ADBE,Information Technology,338.6,16.62,10.37,2.33,0.56
AMD,Information Technology,189.64,8.31,27.07,2.37,2.12
AAP,Consumer Discretionary,221.72,13.28,9.32,5.84,3.31
AES,Utilities,98.21,152.33,12.53,0.72,3.66
AFL,Financials,165.08,8.25,1.5,1.25,7.98
A,Health Care,154.07,8.66,8.01,1.98,1.1
APD,Materials,187.67,11.39,26.71,2.2,1.38
AKAM,Information Technology,186.54,30.17,22.39,2.66,0.09
ALK,Industrials,445.81,10.13,7.52,2.04,3.4
ALB,Materials,164.3,9.32,13.7,2.35,0.91
ARE,Real Estate,172.63,30.2,0.0,0.94,0.92
ALXN,Health Care,154.53,78.57,55.28,11.69,0.23
ALGN,Health Care,365.83,28.58,19.04,3.81,0.32
LNT,Utilities,185.92,11.85,37.86,1.13,2.07
ALL,Financials,270.37,15.05,7.16,0.63,5.83
GOOGL,Communication Services,220.91,20.72,19.05,3.62,0.25
MO,Consumer Staples,258.78,11.3,11.0,10.28,8.98
AMZN,Consumer Discretionary,391.21,126.35,38.14,10.15,2.26
AEE,Utilities,176.71,11.34,6.28,0.73,1.93
AAL,Industrials,852.43,0.0,0.0,-0.23,-4.35
AEP,Utilities,168.15,7.27,11.55,0.97,2.56
AXP,Financials,152.16,10.02,5.68,2.55,7.16
AIG,Financials,267.12,2.21,0.0,0.37,4.4
AMT,Real Estate,172.63,51.66,31.83,5.9,2.59
AWK,Utilities,232.33,13.7,0.0,1.08,2.49
AMP,Financials,228.4,9.06,4.7,0.91,12.65
ABC,Health Care,205.01,12.34,5.66,2.84,4.5
AME,Industrials,161.49,16.66,14.05,3.1,1.1
AMGN,Health Care,227.84,12.81,10.37,2.16,1.57
APH,Information Technology,279.26,13.71,15.18,3.12,1.04
ADI,Information Technology,182.83,10.31,11.49,2.28,0.39
ANSS,Information Technology,145.82,29.99,18.93,3.02,0.4
ANTM,Health Care,214.52,8.02,7.37,0.84,1.24
AON,Financials,228.08,14.74,18.56,1.69,2.64
AOS,Industrials,453.27,5.38,316.16,1.49,1.16
APA,Energy,67.62,6.69,9.34,1.02,0.8
AAPL,Information Technology,198.44,9.93,8.0,3.61,0.54
AMAT,Information Technology,239.68,7.12,6.19,1.53,0.58
ADM,Consumer Staples,162.89,13.33,6.67,0.81,1.29
AJG,Financials,165.76,20.45,12.27,2.39,2.61
AIZ,Financials,226.73,6.06,4.02,0.62,4.54
T,Communication Services,164.94,27.41,7.36,1.01,1.56
ATO,Utilities,234.98,11.82,0.0,1.04,2.37
ADSK,Information Technology,188.65,29.57,15.65,4.29,0.64
ADP,Information Technology,221.81,14.19,11.15,3.03,4.25
AZO,Consumer Discretionary,215.38,16.03,14.68,-9.58,-5.4
AVB,Real Estate,142.71,20.69,3706.41,2.12,0.93
AVY,Materials,253.08,13.09,8.58,1.5,2.0
BKR,Energy,123.74,7.24,0.0,0.79,0.56
BLL,Materials,198.4,12.55,11.03,3.84,4.29
BAC,Financials,374.1,0.0,0.8,0.22,8.25
BK,Financials,236.6,8.01,12.45,0.58,8.54
BAX,Health Care,168.15,5.88,7.04,1.87,1.79
BDX,Health Care,220.48,11.73,16.77,2.86,1.41
BRK.B,Financials,192.9,18.43,15.38,0.48,1.32
BBY,Consumer Discretionary,153.66,22.97,7.78,1.13,2.57
BIO,Health Care,171.4,15.34,17.08,1.55,0.78
BIIB,Health Care,232.7,20.17,16.36,3.82,0.41
BLK,Financials,221.42,11.39,10.23,0.77,6.12
BA,Industrials,217.25,11.25,18.72,12.38,21.17
BKNG,Consumer Discretionary,283.07,22.65,18.5,9.05,0.54
BWA,Consumer Discretionary,116.27,12.87,23.45,2.54,1.43
BXP,Real Estate,135.89,39.4,84.24,2.02,1.73
BSX,Health Care,365.79,19.78,11.27,0.68,0.88
BMY,Health Care,173.89,12.44,10.27,2.84,1.08
AVGO,Information Technology,493.2,12.32,11.13,3.32,0.22
BR,Information Technology,299.62,14.03,10.71,2.95,1.42
BF.B,Consumer Staples,190.89,15.36,19.35,4.34,0.83
CHRW,Industrials,106.6,21.49,23.65,7.4,0.71
COG,Energy,112.6,60.53,525.35,3.51,1.06
CDNS,Information Technology,218.99,40.0,13.48,6.9,3.28
CPB,Consumer Staples,171.39,10.52,8.64,6.91,4.95
COF,Financials,201.1,5.36,2.36,0.57,5.95
CAH,Health Care,178.94,11.82,9.71,1.86,3.09
KMX,Consumer Discretionary,181.46,16.07,0.0,2.47,1.9
CCL,Consumer Discretionary,162.0,10.62,18.96,0.84,0.62
CAT,Industrials,107.48,9.41,10.56,3.48,5.28
CBOE,Financials,288.64,14.92,11.73,8.52,0.39
CBRE,Real Estate,186.84,20.29,23.11,3.52,4.09
CE,Materials,172.51,9.89,70.82,4.42,5.35
CNC,Health Care,257.78,18.67,11.05,2.15,1.34
CNP,Utilities,137.36,4.43,10.28,1.42,4.14
CERN,Health Care,139.7,33.87,29.16,4.41,0.3
CF,Materials,108.92,5.19,4.25,1.52,0.82
SCHW,Financials,335.31,14.19,5.42,1.66,13.07
CHTR,Communication Services,456.64,0.0,12.75,12.66,37.14
CVX,Energy,120.57,5.53,10.18,1.2,0.71
CMG,Consumer Discretionary,100.89,49.96,41.28,10.11,0.37
CB,Financials,194.45,12.12,5.52,0.78,2.59
CHD,Consumer Staples,189.01,18.72,16.05,2.77,0.53
CI,Health Care,287.56,8.63,10.74,1.49,5.34
CINF,Financials,269.44,21.95,15.39,0.73,2.11
CTAS,Industrials,367.97,13.52,16.05,1.66,1.01
CSCO,Information Technology,172.75,12.19,8.03,1.59,0.84
C,Financials,207.06,6.29,1.11,0.38,9.44
CTXS,Information Technology,132.83,25.12,15.87,3.21,0.5
CLX,Consumer Staples,189.11,12.51,16.77,-33.58,-22.56
CME,Financials,281.33,5.99,9.25,0.5,0.89
CMS,Utilities,203.26,10.38,15.05,1.36,4.36
KO,Consumer Staples,124.36,14.3,18.42,3.74,1.51
CTSH,Information Technology,157.38,21.61,32.57,4.72,0.39
CL,Consumer Staples,143.18,15.11,14.01,14.1,4.01
CMCSA,Communication Services,287.05,13.35,6.19,1.14,2.31
CMA,Financials,260.58,9.83,5.66,0.59,7.88
CAG,Consumer Staples,195.57,8.95,5.9,1.35,1.45
COP,Energy,98.69,4.57,5.11,0.8,1.33
ED,Utilities,131.6,12.26,12.84,1.01,2.37
STZ,Consumer Staples,713.37,6.14,5.06,1.37,1.74
COO,Health Care,230.0,19.08,14.34,1.71,0.36
CPRT,Industrials,217.6,18.3,20.42,5.11,1.21
GLW,Information Technology,190.72,5.89,21.67,0.74,0.32
COST,Consumer Staples,185.99,19.66,15.98,2.29,1.25
CCI,Real Estate,191.6,68.13,34.28,3.74,2.92
CSX,Industrials,173.29,10.62,13.49,2.2,2.47
CMI,Industrials,157.76,7.29,9.25,2.3,1.0
CVS,Health Care,188.61,12.92,11.26,1.14,0.7
DHI,Consumer Discretionary,205.06,30.13,0.0,1.37,1.02
DHR,Health Care,201.33,10.99,10.45,1.38,0.77
DRI,Consumer Discretionary,188.27,9.8,60.22,2.39,2.42
DVA,Health Care,152.93,15.25,8.56,3.13,2.93
DE,Industrials,119.47,9.31,13.35,3.68,6.07
DAL,Industrials,570.85,7.19,3.84,-4.35,-32.16
XRAY,Health Care,153.12,19.43,14.69,2.48,1.52
DVN,Energy,71.92,4.68,0.0,0.99,0.92
DXCM,Health Care,579.09,0.0,0.0,6.01,0.15
DLR,Real Estate,169.37,34.57,22.14,1.87,1.36
DFS,Financials,297.55,0.0,0.0,0.0,7.35
DISCA,Communication Services,120.81,7.29,7.96,0.82,0.83
DISCK,Communication Services,128.3,13.42,7.33,0.75,0.83
DISH,Communication Services,188.72,8.2,6.83,-29.58,-28.38
DG,Consumer Discretionary,160.68,18.55,25.62,2.8,1.14
DLTR,Consumer Discretionary,170.65,21.32,23.2,6.58,0.68
D,Utilities,157.44,15.12,0.0,1.83,2.97
DPZ,Consumer Discretionary,480.78,16.86,13.19,-1.38,-1.4
DOV,Industrials,155.76,6.82,8.79,1.21,0.93
DTE,Utilities,196.41,9.49,12.45,0.95,2.69
DUK,Utilities,132.38,11.49,0.0,0.86,1.74
DRE,Real Estate,244.48,77.04,1.35,0.77,1.52
EMN,Materials,192.95,6.44,28.07,2.25,2.25
ETN,Industrials,163.01,8.26,16.4,1.45,1.39
EBAY,Consumer Discretionary,224.71,4.69,6.58,0.83,0.52
ECL,Materials,194.09,27.22,39.23,2.66,2.17
EIX,Utilities,180.44,0.0,0.0,0.91,3.33
EW,Health Care,239.41,35.89,35.85,6.03,0.48
EA,Communication Services,345.29,0.0,56.16,3.02,1.52
EMR,Industrials,126.69,11.17,10.34,2.49,1.27
ETR,Utilities,115.11,6.51,19.77,0.96,3.5
EOG,Energy,191.62,21.96,0.0,1.91,0.97
EFX,Industrials,296.57,18.17,12.73,2.38,1.04
EQIX,Real Estate,347.02,50.11,0.0,2.06,1.96
EQR,Real Estate,139.13,12.46,18.46,1.86,1.84
ESS,Real Estate,172.38,87.57,465.04,2.36,1.59
EL,Consumer Staples,130.74,24.09,27.32,7.45,1.4
EVRG,Utilities,197.74,14.98,0.0,1.06,2.1
RE,Financials,257.23,0.0,5.22,0.61,2.11
EXC,Utilities,92.03,8.1,24.9,1.33,2.82
EXPE,Consumer Discretionary,371.69,7.84,5.97,1.54,1.82
EXPD,Industrials,125.75,20.16,20.47,3.81,0.43
EXR,Real Estate,341.03,33.42,0.0,1.56,1.35
XOM,Energy,111.62,6.97,11.74,1.73,1.06
FFIV,Information Technology,123.15,34.01,20.7,7.18,0.45
FAST,Industrials,110.1,27.97,66.41,6.91,0.16
FRT,Real Estate,161.87,30.5,42.38,3.55,1.96
FDX,Industrials,214.81,13.87,33.43,1.52,0.79
FIS,Information Technology,281.57,15.13,8.16,1.02,1.09
FITB,Financials,217.62,8.27,4.58,0.68,7.83
FE,Utilities,79.55,14.48,6.64,0.92,2.56
FRC,Financials,285.05,10.69,182.27,1.41,9.71
FISV,Information Technology,326.68,17.91,11.22,2.53,1.62
FLT,Information Technology,427.86,16.97,9.39,3.01,1.9
FLIR,Information Technology,139.51,16.01,17.6,2.17,0.36
FLS,Industrials,140.46,11.2,41.98,2.03,1.03
FMC,Materials,125.31,15.18,24.57,4.14,1.87
F,Consumer Discretionary,122.39,1.46,5.46,1.91,10.83
FTNT,Information Technology,124.71,56.65,27.64,9.43,1.05
BEN,Financials,122.58,8.17,10.79,1.7,0.5
FCX,Materials,38.42,6.3,7.02,1.54,0.73
GPS,Consumer Discretionary,149.35,8.55,10.16,2.72,1.88
GRMN,Consumer Discretionary,136.8,10.61,7.01,1.69,0.37
IT,Information Technology,262.5,25.2,16.09,17.85,6.59
GD,Industrials,265.07,7.79,7.08,1.44,1.64
GE,Industrials,187.96,11.01,5.45,1.22,5.08
GIS,Consumer Staples,160.76,12.43,13.34,2.67,2.04
GM,Consumer Discretionary,175.54,3.39,13.63,0.63,2.71
GPC,Consumer Discretionary,162.12,13.1,13.98,2.66,1.25
GILD,Health Care,327.17,9.7,7.76,3.78,1.52
GL,Financials,363.06,5.58,3.41,0.69,3.3
