code,industry,stockratio,initialPE,initialFCF,initialPB,initialDE
MMM,Industrials,174.27,11.6,11.53,2.9,0.88
ABT,Health Care,188.63,6.4,3.82,1.29,1.66
ABMD,Health Care,828.17,0.0,0.0,3.6,0.23
ACN,Information Technology,244.0,12.65,10.03,7.45,2.89
ATVI,Communication Services,291.93,36.46,10.92,1.31,0.32
ADBE,Information Technology,290.03,18.66,14.98,2.69,0.57
AMD,Information Technology,30.93,13.19,0.0,5.52,3.9
AAP,Consumer Discretionary,203.21,16.28,12.01,5.07,2.23
AES,Utilities,73.81,235.05,6.18,0.71,2.89
AFL,Financials,106.44,8.88,2.98,1.87,8.14
A,Health Care,137.41,13.04,13.49,2.47,2.0
APD,Materials,144.05,13.68,20.62,2.37,1.25
AKAM,Information Technology,98.61,52.28,42.59,4.03,0.08
ALK,Industrials,514.9,7.48,4.96,1.66,3.54
ALB,Materials,96.02,13.5,17.12,2.95,1.08
ARE,Real Estate,128.38,27.0,0.0,0.99,0.99
ALXN,Health Care,417.47,76.71,50.62,8.54,0.18
ALGN,Health Care,297.08,20.35,13.68,3.95,0.26
LNT,Utilities,181.3,9.93,18.83,0.91,1.96
ALL,Financials,192.0,15.12,4.0,0.73,5.87
GOOGL,Communication Services,230.23,22.64,27.27,4.14,0.25
MO,Consumer Staples,267.81,7.76,11.61,5.84,6.2
AMZN,Consumer Discretionary,331.02,71.15,32.62,11.83,1.74
AEE,Utilities,170.14,33.76,6.32,0.6,1.98
AAL,Industrials,377.93,0.0,0.0,-0.8,-7.36
AEP,Utilities,177.18,9.58,33.31,0.86,2.7
AXP,Financials,152.69,11.01,5.61,2.72,8.04
AIG,Financials,116.07,0.0,0.34,0.05,5.04
AMT,Real Estate,177.18,47.04,26.21,4.98,1.96
AWK,Utilities,238.61,12.99,367.18,0.85,2.41
AMP,Financials,181.47,10.55,6.92,0.99,10.63
ABC,Health Care,287.94,12.76,9.64,2.68,3.77
AME,Industrials,186.13,18.38,15.41,3.33,1.15
AMGN,Health Care,284.26,9.14,8.11,1.7,0.82
APH,Information Technology,180.67,17.22,26.98,3.64,0.71
ADI,Information Technology,181.19,11.17,9.05,2.43,0.35
ANSS,Information Technology,156.6,31.75,31.8,3.12,0.39
ANTM,Health Care,235.5,7.06,21.0,0.77,1.11
AON,Financials,187.21,30.89,20.31,1.64,2.49
AOS,Industrials,378.16,13.66,21.38,1.72,1.4
APA,Energy,34.62,11.87,20.07,1.58,0.78
AAPL,Information Technology,216.3,15.51,13.08,4.68,0.59
AMAT,Information Technology,135.11,14.45,8.78,1.78,0.45
ADM,Consumer Staples,120.28,9.78,0.0,0.91,1.68
AJG,Financials,148.46,13.08,11.1,2.11,2.25
AIZ,Financials,203.54,13.21,7.1,0.67,4.52
T,Communication Services,135.1,4.94,6.28,0.88,1.41
ATO,Utilities,212.19,11.55,17.32,0.93,2.18
ADSK,Information Technology,134.4,42.59,17.85,5.29,0.66
ADP,Information Technology,209.29,13.29,10.35,2.73,4.66
AZO,Consumer Discretionary,266.35,16.2,12.11,-13.98,-7.9
AVB,Real Estate,167.88,39.2,87.68,2.12,1.36
AVY,Materials,150.62,11.38,9.57,2.15,2.1
BKR,Energy,73.67,16.73,0.0,1.01,0.61
BLL,Materials,197.05,12.19,21.61,3.24,3.18
BAC,Financials,114.88,0.0,1.41,0.52,8.92
BK,Financials,132.5,11.87,7.84,0.91,6.48
BAX,Health Care,139.63,6.53,6.64,1.95,1.57
BDX,Health Care,177.92,12.78,15.37,3.23,1.07
BRK.B,Financials,145.3,15.12,16.51,0.52,1.29
BBY,Consumer Discretionary,83.43,0.0,805.23,1.87,2.35
BIO,Health Care,117.7,15.76,21.09,1.88,0.99
BIIB,Health Care,402.79,15.61,10.85,2.73,0.49
BLK,Financials,181.77,13.86,11.96,0.73,5.78
BA,Industrials,219.5,11.72,20.41,13.37,22.96
BKNG,Consumer Discretionary,281.3,38.46,26.99,10.83,0.6
BWA,Consumer Discretionary,107.88,21.23,32.19,3.17,1.41
BXP,Real Estate,155.65,54.71,0.0,1.76,1.69
BSX,Health Care,214.74,0.0,198.17,1.02,0.96
BMY,Health Care,273.7,10.72,8.15,2.08,0.99
AVGO,Information Technology,475.83,11.59,11.13,3.12,0.43
BR,Information Technology,245.97,15.74,10.84,3.02,1.08
BF.B,Consumer Staples,268.3,15.93,14.42,3.55,0.74
CHRW,Industrials,76.11,27.41,32.41,8.81,0.66
COG,Energy,166.7,35.24,0.0,1.96,1.14
CDNS,Information Technology,222.1,15.02,13.29,7.98,5.26
CPB,Consumer Staples,145.17,11.23,11.68,8.08,5.18
COF,Financials,158.28,6.11,2.15,0.63,6.44
CAH,Health Care,229.01,11.01,8.43,1.9,3.22
KMX,Consumer Discretionary,153.54,20.43,0.0,3.4,2.07
CCL,Consumer Discretionary,124.86,12.6,104.84,1.07,0.63
CAT,Industrials,72.71,17.04,11.79,4.15,4.89
CBRE,Real Estate,148.85,32.51,11.92,6.22,3.81
CE,Materials,152.41,14.72,0.0,5.89,7.94
CNC,Health Care,457.6,13.48,25.38,1.58,1.44
CNP,Utilities,127.07,9.82,0.0,1.4,5.29
CERN,Health Care,223.97,33.58,29.09,4.06,0.27
CF,Materials,142.23,21.64,7.28,1.7,0.98
SCHW,Financials,180.82,32.05,0.0,2.91,13.87
CHTR,Communication Services,414.52,0.0,5.55,2.73,9.65
CVX,Energy,103.6,6.51,10.55,1.17,0.75
CMG,Consumer Discretionary,198.92,37.71,38.35,8.15,0.38
CB,Financials,188.06,5.4,4.73,0.72,2.63
CHD,Consumer Staples,236.67,15.73,11.42,2.25,0.57
CI,Health Care,353.08,7.45,6.96,1.49,5.86
CINF,Financials,202.98,9.64,7.08,0.72,2.0
CTAS,Industrials,328.04,15.92,15.4,1.41,0.64
CSCO,Information Technology,125.56,12.58,10.84,2.13,0.79
C,Financials,97.09,11.95,3.45,0.73,10.54
CTXS,Information Technology,97.48,36.7,18.72,3.9,0.45
CLX,Consumer Staples,207.01,11.75,11.42,52.56,32.53
CME,Financials,158.55,14.69,11.66,0.7,0.75
CMS,Utilities,206.83,10.34,24.25,1.16,4.5
KO,Consumer Staples,133.31,9.55,15.1,3.53,1.33
CTSH,Information Technology,144.41,29.61,37.47,5.95,0.28
CL,Consumer Staples,164.29,14.67,11.95,11.11,2.97
