code,industry,stockratio,initialPE,initialFCF,initialPB,initialDE
MMM,Industrials,194.18,13.52,10.48,3.26,1.05
ABT,Health Care,163.45,5.71,5.29,1.41,1.27
ABMD,Health Care,376.33,0.0,0.0,2.97,0.18
ACN,Information Technology,202.5,13.89,9.53,7.09,2.68
ATVI,Communication Services,167.09,142.25,11.72,1.16,0.28
ADBE,Information Technology,181.3,47.41,18.65,3.75,0.49
AMD,Information Technology,23.81,53.78,939.81,10.02,13.01
AAP,Consumer Discretionary,345.13,13.9,7.25,2.86,1.4
AES,Utilities,92.12,10.38,0.0,0.77,3.45
AFL,Financials,129.48,11.06,2.69,1.96,8.99
A,Health Care,198.26,0.0,20.21,2.26,2.03
APD,Materials,175.73,15.09,60.5,2.34,1.49
AKAM,Information Technology,214.47,32.49,15.11,2.5,0.2
ALK,Industrials,607.24,9.14,0.0,1.27,4.73
ALB,Materials,153.15,15.69,10.93,2.23,1.21
ARE,Real Estate,139.03,16.53,0.0,0.86,1.31
ALXN,Health Care,654.31,15.11,56.28,6.31,0.14
ALGN,Health Care,270.83,0.0,18.38,4.87,0.3
LNT,Utilities,232.14,20.08,0.0,0.74,1.99
ALL,Financials,227.63,15.1,3.14,0.77,6.93
GOOGL,Communication Services,147.31,30.44,23.35,5.49,0.13
MO,Consumer Staples,285.16,7.04,7.08,5.53,8.01
AMZN,Consumer Discretionary,199.15,66.27,20.36,11.36,1.63
AEE,Utilities,182.39,6.52,21.59,0.54,1.94
AAL,Industrials,961.82,0.0,0.0,-0.43,-8.29
AEP,Utilities,189.05,7.46,0.0,0.81,2.68
AXP,Financials,212.75,22.35,7.13,2.83,7.69
AIG,Financials,194.73,0.0,0.16,0.03,7.64
AMT,Real Estate,207.33,59.04,25.17,4.43,1.57
AWK,Utilities,238.48,0.0,0.0,0.74,2.36
AMP,Financials,325.74,10.39,0.0,0.78,10.53
ABC,Health Care,320.66,11.96,7.45,2.27,3.95
AME,Industrials,275.26,16.24,11.58,2.45,1.07
AMGN,Health Care,259.82,10.0,7.93,1.98,0.75
APH,Information Technology,206.58,23.19,14.13,4.17,0.83
ADI,Information Technology,192.87,22.64,14.98,2.22,0.33
ANSS,Information Technology,162.87,34.22,24.12,2.97,0.46
ANTM,Health Care,199.28,4.97,9.03,0.9,1.1
AON,Financials,226.89,13.02,27.27,1.65,3.23
AOS,Industrials,358.78,12.97,5.16,1.44,1.5
APA,Energy,54.53,0.0,48.99,1.85,0.79
AAPL,Information Technology,334.36,20.96,15.35,4.6,0.51
AMAT,Information Technology,176.79,0.0,155.28,1.85,0.35
ADM,Consumer Staples,159.78,14.0,32.37,1.01,1.27
AJG,Financials,219.43,12.44,8.52,1.83,2.64
AIZ,Financials,221.16,6.45,12.88,0.56,4.33
