,pe_c,fcf_c,pb_c,ps_c,intercept,industry
Information Technology,5.282808589479396,-6.608790626531063,-0.03360563788188298,-7.860422848640434,151.47372091316234,Information Technology
Industrials,-12.551326538130786,0.3923652871373067,0.19833961479758244,-16.678042111229487,152.62022424732933,Industrials
Health Care,0.11103706441756966,-1.0705870711722403,0.2752237865265974,1.8237835633494641,139.68710582062778,Health Care
Financials,1.5644074622317423,-1.1301037547088644,-1.1887939783039343,13.691018980102129,103.33941518158069,Financials
Communication Services,9.57516935533961,-0.5215450064498333,0.31282813088651906,-11.141567995244204,147.47728460661853,Communication Services
Consumer Discretionary,4.656000071456062,4.238808690078058,-0.2714091755135659,-29.488235659593766,153.24432856795977,Consumer Discretionary
Materials,0.8826520363404564,5.8071366976033225,-3.0473560934946318,-72.04256824919447,158.5517821965168,Materials
Utilities,-5.989832011420223,-0.08881410153920477,3.461950395339026,-32.80965437799996,128.22355720080805,Utilities
Real Estate,0.7399535126111769,-0.06925970839898055,-0.23398727119519025,-4.669116570406175,125.11666659693,Real Estate
Consumer Staples,-8.242350320550162,3.7749911231233026,-0.010318911569676459,5.778075179063042,124.81140664302463,Consumer Staples
Energy,11.127424921093924,-1.2714249160673834,-6.144843121207559,-10.601210390003281,103.05133249476387,Energy
