code,industry,stockratio,initialPE,initialFCF,initialPB,initialDE
MMM,Industrials,126.21,10.46,14.63,3.53,1.1
ABT,Health Care,125.69,9.2,9.4,1.85,1.23
ABMD,Health Care,86.27,0.0,0.0,4.87,0.21
ACN,Information Technology,215.5,12.7,11.24,10.29,4.47
ATVI,Communication Services,74.49,29.58,40.21,32.75,2.66
ADBE,Information Technology,81.92,34.54,19.28,5.18,0.23
AMD,Information Technology,31.92,0.0,0.0,1.52,2.86
AAP,Consumer Discretionary,194.63,16.0,18.83,3.51,1.74
AES,Utilities,56.33,0.0,0.0,3.11,9.89
AFL,Financials,96.4,13.69,4.81,2.51,6.48
A,Health Care,98.16,15.57,12.0,2.8,1.34
APD,Materials,97.09,13.78,19.41,2.53,1.32
AKAM,Information Technology,117.94,62.91,46.92,4.23,0.22
ALK,Industrials,343.36,7.1,0.0,0.83,3.38
ALB,Materials,161.58,14.21,22.13,2.49,1.22
ARE,Real Estate,79.77,25.56,0.0,1.41,2.09
ALXN,Health Care,498.41,0.0,0.0,27.96,2.29
ALGN,Health Care,165.95,33.36,26.28,7.1,0.38
LNT,Utilities,135.47,6.46,2.87,0.93,1.46
ALL,Financials,89.88,4.95,4.45,0.99,6.16
GOOGL,Communication Services,102.04,52.23,65.03,9.57,0.12
MO,Consumer Staples,185.44,2.41,2.37,1.24,2.06
AMZN,Consumer Discretionary,270.11,82.71,33.26,32.2,4.42
AEE,Utilities,75.46,10.49,0.0,0.96,2.07
AAL,Industrials,91.55,0.0,2.55,1.3,9.75
AEP,Utilities,116.68,9.92,0.0,1.08,3.0
AXP,Financials,121.68,12.41,6.98,4.38,12.58
AIG,Financials,3.67,17.49,3.32,1.08,9.94
AMT,Real Estate,184.38,277.59,28.56,4.77,1.69
AMP,Financials,125.41,12.01,21.3,1.19,12.99
ABC,Health Care,203.76,14.58,9.77,2.08,3.37
AME,Industrials,185.63,18.11,19.23,3.73,1.21
AMGN,Health Care,190.63,13.28,10.06,2.25,0.94
APH,Information Technology,141.06,21.77,26.76,6.0,1.12
ADI,Information Technology,135.17,15.84,11.56,3.06,0.27
ANSS,Information Technology,162.01,40.65,28.91,5.06,0.51
ANTM,Health Care,71.6,13.52,11.11,1.82,1.26
AON,Financials,124.57,15.15,12.19,1.99,3.01
AOS,Industrials,288.77,10.27,2.43,1.16,1.45
APA,Energy,75.26,10.63,30.97,1.93,0.86
AAPL,Information Technology,270.58,37.82,27.16,8.92,0.79
AMAT,Information Technology,60.64,12.33,11.04,2.67,0.36
ADM,Consumer Staples,65.2,16.87,0.0,1.74,1.72
AJG,Financials,181.98,10.71,7.03,1.97,3.97
AIZ,Financials,57.22,9.49,5.41,1.47,5.54
T,Communication Services,107.65,10.21,7.36,1.03,1.39
ATO,Utilities,157.74,10.07,39.26,0.8,2.15
ADSK,Information Technology,64.97,33.49,18.41,9.58,0.69
ADP,Information Technology,148.74,12.9,12.55,2.81,4.32
AZO,Consumer Discretionary,342.92,12.59,11.12,41.23,27.5
AVB,Real Estate,180.17,13.15,0.0,1.48,1.23
AVY,Materials,78.24,12.28,15.24,1.86,2.14
BKR,Energy,53.4,9.64,27.74,2.29,0.56
BLL,Materials,207.03,14.74,11.34,3.0,3.49
BAC,Financials,30.83,10.06,16.71,1.01,10.69
BK,Financials,58.22,16.78,11.61,1.44,5.72
BAX,Health Care,128.04,9.43,9.98,2.25,1.21
BDX,Health Care,103.19,16.78,20.18,3.59,0.67
BRK.B,Financials,94.46,16.62,30.62,0.0,1.26
BBY,Consumer Discretionary,32.72,0.0,23.48,4.04,3.13
BIO,Health Care,101.12,30.3,21.59,2.87,1.03
BIIB,Health Care,256.47,26.23,22.36,2.8,0.56
BLK,Financials,107.82,20.74,43.16,1.57,0.95
BA,Industrials,98.37,12.12,6.25,5.24,5.55
BKNG,Consumer Discretionary,538.76,34.81,37.32,7.63,1.33
BWA,Consumer Discretionary,150.46,17.46,16.28,2.14,1.14
BXP,Real Estate,133.25,5.52,0.0,1.95,2.05
BSX,Health Care,49.14,0.0,28.77,1.15,1.07
BMY,Health Care,156.88,15.01,12.31,3.06,1.46
BF.B,Consumer Staples,181.95,17.21,17.52,3.87,1.03
CHRW,Industrials,128.11,21.91,26.8,6.68,0.74
COG,Energy,249.37,21.51,0.0,3.39,1.02
CDNS,Information Technology,79.22,17.01,13.69,2.25,0.86
CPB,Consumer Staples,111.52,11.69,18.65,6.25,3.69
COF,Financials,132.11,9.75,1.21,0.58,5.2
CAH,Health Care,109.72,7.41,19.25,1.53,2.3
KMX,Consumer Discretionary,158.15,24.86,0.0,3.43,0.45
CCL,Consumer Discretionary,96.71,10.82,34.8,1.25,0.71
CAT,Industrials,141.59,9.26,6.16,3.45,5.24
CBRE,Real Estate,92.11,12.98,9.12,4.39,5.32
CE,Materials,108.28,14.59,21.75,5.06,6.59
CNC,Health Care,149.04,16.73,8.29,2.89,1.7
CNP,Utilities,144.07,8.29,0.0,1.73,8.87
CERN,Health Care,274.16,34.18,165.77,3.92,0.49
CF,Materials,189.54,12.96,8.21,4.04,0.7
SCHW,Financials,60.42,10.86,16.74,6.72,10.33
CVX,Energy,136.86,6.48,14.61,1.54,0.93
CMG,Consumer Discretionary,201.74,69.05,764.4,8.58,0.29
CB,Financials,144.89,5.93,3.21,0.9,3.32
CHD,Consumer Staples,209.75,18.34,15.32,2.9,1.34
CI,Health Care,99.92,13.76,13.29,3.13,7.44
CINF,Financials,129.11,4.73,6.36,0.66,1.81
CTAS,Industrials,143.59,12.38,13.73,1.85,0.72
CSCO,Information Technology,53.3,19.48,16.25,4.44,0.64
C,Financials,14.19,33.75,0.0,1.08,18.28
CTXS,Information Technology,172.23,25.71,16.47,3.01,0.38
CLX,Consumer Staples,132.33,13.32,10.69,-11.09,-9.76
CME,Financials,42.76,28.39,28.64,1.83,0.65
CMS,Utilities,169.48,0.0,6.85,1.17,5.66
KO,Consumer Staples,136.77,15.95,16.65,4.37,0.99
CTSH,Information Technology,217.17,28.02,60.96,6.38,0.25
CL,Consumer Staples,151.39,17.87,17.42,12.69,3.42
CMCSA,Communication Services,223.67,17.4,22.25,1.05,1.74
CMA,Financials,78.64,7.07,5.82,0.91,11.18
CAG,Consumer Staples,143.5,8.05,55.18,1.33,1.67
COP,Energy,103.09,5.94,4.34,0.76,1.0
ED,Utilities,155.05,7.55,0.0,0.7,2.04
STZ,Consumer Staples,151.94,16.98,17.1,1.34,1.9
COO,Health Care,229.68,0.0,0.0,1.28,0.78
CPRT,Industrials,149.62,24.92,29.29,3.66,0.15
GLW,Information Technology,56.64,13.59,36.04,3.01,0.6
COST,Consumer Staples,163.51,20.1,42.66,2.44,1.4
CCI,Real Estate,173.0,0.0,172.87,2.67,2.01
CSX,Industrials,148.97,11.43,37.4,1.61,1.94
CMI,Industrials,183.66,12.84,18.93,2.81,1.4
CVS,Health Care,128.41,16.4,30.0,1.43,0.75
DHI,Consumer Discretionary,163.06,0.0,2.21,0.65,0.92
DHR,Health Care,128.29,15.1,13.9,2.21,0.92
DRI,Consumer Discretionary,154.38,17.41,11.67,2.61,2.65
DVA,Health Care,195.64,15.83,19.6,3.48,3.01
DE,Industrials,122.08,14.5,12.63,3.57,4.39
XRAY,Health Care,90.4,24.85,19.47,4.07,0.77
DVN,Energy,61.36,9.07,31.77,1.46,0.88
DXCM,Health Care,153.52,0.0,0.0,35.52,9.86
DLR,Real Estate,214.32,62.59,0.0,1.41,1.69
DISCA,Communication Services,282.93,0.0,286.29,0.7,0.31
DISH,Communication Services,131.65,16.42,10.75,19.33,14.76
DLTR,Consumer Discretionary,311.43,18.68,18.88,3.62,0.9
D,Utilities,135.37,6.86,0.0,1.7,3.16
DPZ,Consumer Discretionary,355.15,18.73,17.16,-0.46,-1.33
DOV,Industrials,160.09,7.14,6.08,1.15,1.05
DTE,Utilities,175.31,4.54,0.0,0.72,3.06
DUK,Utilities,137.9,8.98,164.25,0.64,1.34
DRE,Real Estate,74.66,8.83,0.0,0.73,1.79
EMN,Materials,258.48,11.95,8.86,1.64,1.89
ETN,Industrials,130.66,9.65,11.94,1.8,1.6
EBAY,Consumer Discretionary,153.32,52.84,7.98,1.46,0.31
ECL,Materials,149.81,25.78,24.89,5.59,1.44
EIX,Utilities,99.8,10.49,27.45,1.21,3.01
EW,Health Care,391.43,24.73,17.66,3.12,0.62
EA,Communication Services,24.8,0.0,125.5,4.3,0.5
EMR,Industrials,109.07,13.35,12.46,3.23,1.27
ETR,Utilities,65.61,12.18,21.47,1.68,3.28
EOG,Energy,139.47,18.06,0.0,2.79,0.73
EFX,Industrials,157.37,15.35,12.5,2.87,1.52
EQIX,Real Estate,203.51,0.0,0.0,3.86,1.68
EQR,Real Estate,190.63,5.78,14.28,1.05,2.1
ESS,Real Estate,183.52,14.89,0.0,1.69,2.18
EL,Consumer Staples,291.69,16.75,19.55,5.28,2.45
EVRG,Utilities,149.14,9.06,0.0,0.86,2.45
RE,Financials,122.63,5.74,5.61,0.83,2.17
EXC,Utilities,45.62,11.94,17.89,3.14,3.48
EXPE,Consumer Discretionary,107.15,28.09,13.41,1.58,0.72
EXPD,Industrials,93.26,30.5,36.43,6.57,0.69
EXR,Real Estate,317.37,16.62,0.0,0.92,2.31
XOM,Energy,103.7,8.12,9.03,2.61,0.99
FFIV,Information Technology,339.78,33.55,16.7,2.99,0.23
FAST,Industrials,258.02,18.74,24.56,4.29,0.15
FRT,Real Estate,150.69,15.74,39.68,2.84,1.68
FDX,Industrials,93.7,13.75,47.01,1.98,0.77
FIS,Information Technology,160.72,6.76,31.53,0.99,1.59
FITB,Financials,66.98,8.4,0.0,1.04,11.11
FE,Utilities,73.26,9.36,113.6,1.34,2.6
FISV,Information Technology,142.1,21.26,23.71,3.71,3.8
FLIR,Information Technology,72.66,30.74,60.38,6.0,0.64
FLS,Industrials,161.84,17.59,13.3,3.44,1.72
FMC,Materials,223.0,27.83,23.04,3.35,1.57
F,Consumer Discretionary,195.56,0.0,0.82,1.79,48.62
BEN,Financials,123.65,10.17,15.45,2.62,0.38
FCX,Materials,74.3,10.25,6.88,1.63,1.23
GPS,Consumer Discretionary,208.42,13.9,11.55,2.25,0.86
GRMN,Consumer Discretionary,50.99,15.21,24.77,5.46,0.4
IT,Information Technology,261.41,25.45,15.32,99.38,63.76
GD,Industrials,88.66,12.84,10.75,2.24,1.19
GE,Industrials,68.85,11.05,7.21,2.07,5.89
GIS,Consumer Staples,158.02,11.8,12.29,2.31,2.36
GPC,Consumer Discretionary,165.56,10.2,8.71,1.86,0.76
