code,industry,stockratio,initialPE,initialFCF,initialPB,initialDE
C,Financials,116.76,8.55,3.73,0.61,6.76
CFG,Financials,139.8,14.29,10.61,0.59,6.04
CTXS,Information Technology,118.93,29.27,10.07,4.59,1.77
CLX,Consumer Staples,97.73,21.39,22.71,72.66,20.09
CME,Financials,134.93,20.57,18.03,1.24,2.28
CMS,Utilities,119.72,16.42,112.92,2.16,4.11
KO,Consumer Staples,100.4,21.83,19.93,6.12,2.49
CTSH,Information Technology,94.04,21.77,18.41,3.77,0.41
CL,Consumer Staples,101.18,39.01,23.64,-1194.97,-272.25
CMCSA,Communication Services,125.88,15.82,11.94,2.32,2.09
CMA,Financials,167.16,12.27,8.66,0.83,8.51
CAG,Consumer Staples,119.05,0.0,9.66,3.49,3.55
COP,Energy,110.98,0.0,0.0,1.26,1.43
ED,Utilities,119.8,13.24,3942.3,1.11,2.5
STZ,Consumer Staples,109.6,25.97,40.8,3.97,1.45
COO,Health Care,116.43,36.75,50.61,2.75,0.67
CPRT,Industrials,145.96,21.3,25.6,4.28,0.83
GLW,Information Technology,137.16,16.56,13.66,0.96,0.51
COST,Consumer Staples,94.75,26.84,44.86,5.69,2.2
CCI,Real Estate,105.27,16.24,27.15,3.39,2.09
CSX,Industrials,143.13,11.94,24.73,1.99,1.98
CMI,Industrials,161.91,9.69,10.05,1.7,0.95
CVS,Health Care,82.77,18.26,15.37,2.51,1.49
DHI,Consumer Discretionary,86.96,14.62,13.59,1.84,0.85
DHR,Health Care,112.09,14.38,14.48,1.98,1.03
DRI,Consumer Discretionary,135.97,17.15,6.6,3.17,1.6
DVA,Health Care,92.77,56.67,17.35,2.88,2.64
DE,Industrials,117.45,12.16,5.72,3.28,7.58
DAL,Industrials,99.36,8.18,7.44,3.31,3.9
XRAY,Health Care,96.05,33.38,19.66,3.52,0.88
DVN,Energy,145.81,0.0,0.0,1.1,1.68
DXCM,Health Care,73.43,0.0,416.37,30.25,0.32
FANG,Energy,152.17,0.0,730.36,2.02,0.3
DLR,Real Estate,135.89,39.41,9.98,2.05,1.52
DFS,Financials,138.43,9.32,5.68,1.79,6.7
DISCA,Communication Services,103.49,16.89,14.7,2.01,1.91
DISCK,Communication Services,106.97,15.96,13.89,1.9,1.91
DISH,Communication Services,102.06,35.52,15.41,9.66,7.33
DG,Consumer Discretionary,103.96,16.82,23.38,3.5,1.11
DLTR,Consumer Discretionary,116.21,53.24,83.99,3.71,3.03
D,Utilities,118.56,17.03,0.0,2.39,3.31
DPZ,Consumer Discretionary,145.76,30.58,24.43,-2.94,-1.44
