code,industry,stockratio,initialPE,initialFCF,initialPB,initialDE
MMM,Industrials,254.25,11.73,13.5,2.82,0.88
ABT,Health Care,179.18,7.18,5.67,1.58,1.51
ABMD,Health Care,1237.92,39.53,24.93,3.84,0.21
ACN,Information Technology,215.94,14.69,12.76,7.9,2.29
ATVI,Communication Services,554.54,9.94,8.73,0.98,0.26
ADBE,Information Technology,465.48,20.85,14.16,2.57,0.51
AMD,Information Technology,380.26,0.0,0.0,3.18,6.44
AAP,Consumer Discretionary,123.52,13.57,12.47,4.29,2.81
AES,Utilities,103.56,0.0,7.46,0.82,4.57
AFL,Financials,165.64,7.17,1.37,1.28,7.21
A,Health Care,244.12,7.38,8.21,1.61,1.03
APD,Materials,212.39,11.49,109.85,2.07,1.7
AKAM,Information Technology,141.14,36.2,24.06,3.1,0.11
ALK,Industrials,321.21,8.87,11.31,1.92,2.87
ALB,Materials,198.45,17.3,23.49,2.5,0.78
ARE,Real Estate,198.29,49.32,0.0,0.97,1.05
ALXN,Health Care,113.26,73.81,47.86,9.26,0.33
ALGN,Health Care,710.82,27.48,24.14,3.85,0.3
LNT,Utilities,204.73,11.56,0.0,1.11,2.23
ALL,Financials,254.09,7.39,6.16,0.81,5.17
GOOGL,Communication Services,263.59,21.95,17.67,3.26,0.31
MO,Consumer Staples,249.14,10.62,11.14,13.13,10.15
AMZN,Consumer Discretionary,413.85,0.0,287.69,13.9,2.97
AEE,Utilities,206.72,0.0,10.72,0.85,2.29
AAL,Industrials,353.64,0.0,0.0,-0.19,-3.94
AEP,Utilities,184.7,12.19,21.86,1.01,2.57
AXP,Financials,164.85,13.14,9.63,2.98,7.11
AIG,Financials,160.71,20.16,13.79,0.45,4.56
AMT,Real Estate,179.14,41.69,31.47,7.15,2.82
AWK,Utilities,244.35,15.61,9.47,1.25,2.31
AMP,Financials,271.17,11.07,8.37,1.08,12.87
ABC,Health Care,204.17,13.04,20.57,3.71,5.63
AME,Industrials,176.73,18.91,15.66,3.42,1.05
AMGN,Health Care,200.14,12.85,10.73,2.81,1.85
APH,Information Technology,251.98,17.71,17.88,3.93,1.14
ADI,Information Technology,237.18,15.01,14.35,2.31,0.35
ANSS,Information Technology,194.57,31.47,23.3,3.22,0.34
ANTM,Health Care,357.29,6.65,7.98,0.69,1.48
AON,Financials,226.47,17.02,14.72,2.03,2.91
AOS,Industrials,365.27,16.5,35.44,2.18,0.91
APA,Energy,51.69,13.69,0.0,0.84,0.94
AAPL,Information Technology,218.45,10.49,9.24,3.41,0.54
AMAT,Information Technology,521.12,152.51,6.92,1.51,0.67
APTV,Consumer Discretionary,252.36,8.79,11.89,3.25,2.6
ADM,Consumer Staples,147.63,10.44,8.92,0.75,1.36
AJG,Financials,189.31,17.47,11.73,2.12,2.23
AIZ,Financials,286.09,5.25,3.99,0.44,4.58
T,Communication Services,132.54,17.57,6.28,1.28,1.94
ATO,Utilities,249.11,11.42,0.0,1.07,2.29
ADSK,Information Technology,348.31,30.05,14.26,3.55,0.7
ADP,Information Technology,234.16,14.43,14.44,3.15,4.21
AZO,Consumer Discretionary,158.87,15.79,18.3,-8.8,-5.02
AVB,Real Estate,136.44,24.25,0.0,1.75,0.63
AVY,Materials,328.78,14.22,8.52,1.87,2.23
BKR,Energy,103.4,8.21,0.0,0.62,0.55
BLL,Materials,156.85,16.37,12.04,4.85,4.82
BAC,Financials,238.12,41.17,0.0,0.47,8.33
BK,Financials,203.62,10.53,25.56,0.67,8.63
BAX,Health Care,175.87,7.56,9.03,2.47,1.92
BDX,Health Care,265.25,9.14,13.09,2.99,1.6
BRK.B,Financials,196.18,15.0,19.9,0.53,1.23
BBY,Consumer Discretionary,384.72,25.2,0.0,0.97,3.25
BIO,Health Care,201.7,17.77,23.16,1.48,0.71
BIIB,Health Care,209.63,23.42,19.9,4.58,0.46
BLK,Financials,250.98,12.25,14.4,1.12,6.84
BA,Industrials,395.27,12.33,8.14,7.99,13.9
BKNG,Consumer Discretionary,248.67,22.39,18.4,7.94,0.69
BWA,Consumer Discretionary,133.45,15.5,16.61,2.37,1.04
BXP,Real Estate,130.33,39.41,0.0,2.15,1.74
BSX,Health Care,384.08,0.0,7.53,1.13,1.5
BMY,Health Care,191.46,22.38,6.79,3.08,1.63
AVGO,Information Technology,769.85,11.93,14.91,2.74,0.18
BR,Information Technology,392.03,18.57,10.36,3.03,1.37
BF.B,Consumer Staples,179.88,20.54,25.75,4.95,0.65
CHRW,Industrials,140.89,14.3,19.98,5.61,0.86
COG,Energy,103.9,52.85,0.0,4.58,1.17
CDNS,Information Technology,274.81,8.72,13.54,4.14,1.5
CPB,Consumer Staples,137.37,11.75,11.05,7.94,6.97
COF,Financials,167.23,8.0,3.18,0.72,6.73
CAH,Health Care,147.04,10.1,11.53,1.74,2.77
KMX,Consumer Discretionary,168.72,19.92,0.0,2.74,2.08
CCL,Consumer Discretionary,173.81,18.47,33.7,1.0,0.64
CAT,Industrials,182.03,8.32,38.6,2.63,4.06
CBOE,Financials,406.0,15.18,13.86,9.86,0.42
CBRE,Real Estate,193.21,20.73,46.2,3.91,3.64
CE,Materials,232.01,10.14,19.64,3.54,4.2
CNC,Health Care,436.87,0.0,11.18,2.25,1.91
CNP,Utilities,161.71,14.59,9.29,1.39,4.32
CERN,Health Care,154.4,33.67,31.48,4.62,0.31
CF,Materials,106.36,5.66,5.6,1.62,0.62
SCHW,Financials,332.59,18.97,14.92,1.74,12.94
CHTR,Communication Services,391.2,0.0,52.44,46.81,103.67
CVX,Energy,124.8,5.86,19.47,1.1,0.69
CMG,Consumer Discretionary,86.26,34.0,42.41,7.42,0.34
CB,Financials,183.45,8.39,5.67,0.82,2.36
CHD,Consumer Staples,179.69,19.37,15.08,3.19,0.99
CI,Health Care,337.97,9.5,7.95,1.56,4.5
CINF,Financials,202.02,11.76,7.86,0.91,2.04
CTAS,Industrials,362.97,15.45,13.97,2.21,1.03
CSCO,Information Technology,207.64,8.53,6.74,1.33,0.76
C,Financials,171.78,14.43,0.0,0.56,8.76
CTXS,Information Technology,148.85,27.44,13.88,3.05,0.54
CLX,Consumer Staples,207.51,13.74,13.94,137.14,79.39
CME,Financials,328.76,6.12,9.81,0.56,0.81
CMS,Utilities,203.21,13.29,362.09,1.54,4.29
KO,Consumer Staples,131.25,14.34,16.09,3.79,1.6
CTSH,Information Technology,171.78,20.57,25.82,4.4,0.34
CL,Consumer Staples,143.11,16.8,15.37,16.94,4.6
CMCSA,Communication Services,206.34,14.14,9.63,1.72,2.31
CMA,Financials,276.62,9.17,7.65,0.67,8.37
CAG,Consumer Staples,162.14,12.11,11.3,1.62,1.67
COP,Energy,100.28,6.64,29.6,1.12,1.42
ED,Utilities,165.42,10.57,33.86,0.93,2.47
STZ,Consumer Staples,553.63,15.59,15.73,2.21,2.0
COO,Health Care,222.67,18.92,21.85,2.1,0.33
CPRT,Industrials,223.73,19.86,26.03,5.88,1.0
GLW,Information Technology,252.94,9.15,11.08,0.71,0.36
COST,Consumer Staples,191.83,19.59,19.01,2.73,1.29
CCI,Real Estate,155.45,89.16,50.19,5.67,4.45
CSX,Industrials,275.64,9.54,22.45,1.91,2.36
CMI,Industrials,164.41,10.0,19.67,2.38,0.8
CVS,Health Care,145.25,13.23,11.0,1.31,0.76
DHI,Consumer Discretionary,239.01,6.41,0.0,1.62,1.03
DHR,Health Care,199.51,12.11,9.81,1.47,0.73
DRI,Consumer Discretionary,190.56,10.44,21.49,2.54,2.67
DVA,Health Care,116.05,20.24,19.54,2.98,3.09
DE,Industrials,156.77,9.3,44.02,4.02,7.2
DAL,Industrials,444.47,8.86,17.65,-4.21,-21.91
XRAY,Health Care,151.64,17.25,19.43,2.38,1.21
DVN,Energy,75.85,0.0,0.0,0.85,1.04
DXCM,Health Care,374.9,0.0,0.0,12.27,0.38
DLR,Real Estate,187.97,32.93,0.0,1.73,1.52
DFS,Financials,193.72,27.1,0.0,0.0,6.44
DISCA,Communication Services,62.6,12.75,23.57,1.24,1.06
DISCK,Communication Services,64.25,23.49,21.72,1.14,1.06
DISH,Communication Services,116.46,25.82,15.46,230.23,241.64
DG,Consumer Discretionary,152.32,16.68,29.13,3.17,1.17
DLTR,Consumer Discretionary,203.18,16.01,24.48,5.89,0.72
D,Utilities,167.35,37.14,0.0,2.03,3.41
DPZ,Consumer Discretionary,408.06,21.06,15.73,-1.69,-1.36
DOV,Industrials,182.22,8.51,8.29,1.33,1.12
DTE,Utilities,192.55,12.84,18.37,1.06,2.55
DUK,Utilities,145.03,16.68,0.0,0.77,1.78
DRE,Real Estate,215.7,0.0,62.78,1.09,1.88
EMN,Materials,134.76,18.3,12.56,2.82,2.87
ETN,Industrials,151.46,11.92,13.71,1.3,1.36
EBAY,Consumer Discretionary,166.94,9.79,9.95,1.21,0.78
ECL,Materials,175.41,27.89,32.18,3.15,1.85
