code,industry,stockratio,initialPE,initialFCF,initialPB,initialDE
MMM,Industrials,115.22,18.32,17.24,6.63,1.38
ABT,Health Care,200.55,26.72,23.4,2.77,0.9
ABBV,Health Care,155.05,46.04,27.51,45.84,14.79
ABMD,Health Care,420.16,86.5,50.14,7.99,0.23
ACN,Information Technology,239.4,16.58,13.78,8.4,1.93
ATVI,Communication Services,287.06,16.92,11.44,1.92,1.02
ADBE,Information Technology,393.81,150.37,32.89,5.41,0.59
AMD,Information Technology,1610.11,0.0,0.0,11.08,19.14
AAP,Consumer Discretionary,95.06,23.35,23.89,5.72,2.98
AES,Utilities,163.45,10.34,0.0,1.05,4.32
AFL,Financials,182.31,8.13,3.67,1.28,5.53
A,Health Care,186.51,25.64,23.59,2.38,1.04
APD,Materials,185.16,24.46,33.17,3.32,1.35
AKAM,Information Technology,128.61,34.22,33.61,3.81,0.36
ALK,Industrials,115.54,12.34,22.25,3.38,1.85
ALB,Materials,123.91,32.32,11.24,2.85,2.51
ARE,Real Estate,198.54,73.56,0.0,1.36,1.09
ALXN,Health Care,54.79,56.76,74.31,11.15,0.27
ALGN,Health Care,467.85,31.59,22.68,5.96,0.31
ALLE,Industrials,219.54,29.01,24.91,271.96,107.97
LNT,Utilities,181.43,15.81,114.72,1.66,2.31
ALL,Financials,163.97,10.0,9.35,1.18,3.86
GOOGL,Communication Services,236.61,25.23,32.64,3.48,0.24
GOOG,Communication Services,238.1,25.1,32.37,3.45,0.24
MO,Consumer Staples,119.76,13.93,15.74,23.46,10.45
AMZN,Consumer Discretionary,558.14,0.0,73.57,13.44,4.07
AEE,Utilities,181.28,16.06,0.0,1.37,2.25
AAL,Industrials,52.73,12.96,0.0,17.53,20.39
AEP,Utilities,174.02,14.59,58.61,1.42,2.54
AXP,Financials,135.56,15.19,9.04,4.17,6.7
AIG,Financials,95.74,9.34,13.96,0.62,3.81
AMT,Real Estate,240.49,43.74,30.32,8.6,4.25
AWK,Utilities,239.64,19.98,54.77,1.72,2.26
AMP,Financials,133.5,13.64,9.67,2.23,14.99
ABC,Health Care,95.96,1015.97,6.05,10.08,13.08
AME,Industrials,183.73,21.3,19.05,3.76,0.98
AMGN,Health Care,160.74,20.27,12.7,4.01,1.68
APH,Information Technology,197.73,22.92,24.01,5.35,1.38
ADI,Information Technology,226.62,21.71,19.71,2.81,0.44
ANSS,Information Technology,294.27,30.26,21.5,3.36,0.24
ANTM,Health Care,241.95,12.86,12.04,1.28,1.54
AON,Financials,217.72,18.99,17.07,3.74,3.49
AOS,Industrials,168.97,22.51,26.36,3.34,0.82
APA,Energy,43.06,0.0,0.0,0.73,0.99
AAPL,Information Technology,271.4,13.53,9.94,4.74,1.12
