code,industry,stockratio,initialPE,initialFCF,initialPB,initialDE
MMM,Industrials,272.4,8.4,9.22,2.76,1.5
ABT,Health Care,158.54,6.56,5.6,1.81,1.42
ABMD,Health Care,159.3,0.0,0.0,4.77,0.13
ACN,Information Technology,271.12,8.74,6.65,9.16,4.28
ATVI,Communication Services,213.58,258.13,22.0,0.88,0.26
ADBE,Information Technology,239.82,14.57,10.87,2.76,0.32
AMD,Information Technology,175.26,0.0,0.0,10.36,59.41
AAP,Consumer Discretionary,328.35,12.95,10.26,2.86,1.76
AES,Utilities,197.2,3.14,0.0,0.53,3.95
AFL,Financials,163.49,12.94,3.26,2.37,10.95
A,Health Care,227.8,7.87,8.87,2.01,1.74
APD,Materials,249.52,10.53,18.39,1.53,1.59
AKAM,Information Technology,305.84,19.35,12.35,1.63,0.2
ALK,Industrials,493.55,0.0,0.0,1.44,6.31
ALB,Materials,298.82,8.77,7.32,1.5,1.57
ARE,Real Estate,121.25,13.4,0.0,0.76,1.95
ALXN,Health Care,718.13,96.51,241.91,11.94,0.93
ALGN,Health Care,638.78,7.35,23.27,2.63,0.28
LNT,Utilities,216.62,7.07,0.0,0.66,1.67
ALL,Financials,186.65,0.0,3.81,1.06,9.64
GOOGL,Communication Services,356.34,22.88,17.84,3.44,0.13
MO,Consumer Staples,337.3,3.27,3.12,5.63,8.62
AMZN,Consumer Discretionary,760.71,34.19,16.24,8.21,2.11
AEE,Utilities,139.48,7.1,0.0,0.6,2.16
AAL,Industrials,319.35,0.0,0.0,-0.69,-9.58
AEP,Utilities,174.98,5.88,0.0,0.77,3.22
AXP,Financials,525.69,6.69,2.56,1.48,9.65
AIG,Financials,190.31,0.0,0.0,0.05,13.15
AMT,Real Estate,275.26,29.57,19.61,3.29,1.74
AMP,Financials,536.89,0.0,2.05,0.59,13.78
ABC,Health Care,413.7,18.49,13.23,1.67,3.63
AME,Industrials,395.69,8.61,14.78,2.31,1.37
AMGN,Health Care,202.67,11.78,9.31,2.31,0.74
