,pe_c,fcf_c,pb_c,ps_c,intercept,industry
Information Technology,0.07257269055715553,-3.052752035249049,-0.013092271922253929,-0.1282832756440171,124.38741193079849,Information Technology
Industrials,0.12487426266738773,0.6515746055407994,0.0875050707241638,-7.48121344584393,118.29426684041488,Industrials
Health Care,-0.0975424510446151,-0.4727443690018526,0.27194832470269836,0.834442496427988,118.17107135443871,Health Care
Financials,-0.5495847082947145,0.03914313267438985,-0.6208527146218081,5.848599796032925,100.48693395968651,Financials
Communication Services,3.795342261365886,-0.6276717259204878,-0.28167735910340036,-1.1847068812652115,114.08111077796244,Communication Services
Consumer Discretionary,2.1379222377501845,0.7443559847601513,-0.21611105654568236,-13.748588442375471,125.24025141212061,Consumer Discretionary
Materials,-0.5730142044778177,1.623011720782352,-3.1439388218172915,-32.83972832261911,129.92540991413668,Materials
Utilities,-5.999952690754679,0.03191985380329759,5.4344421735548565,-26.636878122193952,122.65155349634625,Utilities
Real Estate,0.2516261758474454,0.4539187156704234,-0.19856848505205804,-3.5478400278021978,114.42768742245404,Real Estate
Consumer Staples,-0.6915720754068214,3.2562973412018854,-0.041355430143538374,-5.272385969962295,113.80006740705205,Consumer Staples
Energy,1.5023284192842314,0.06739006660733349,-7.880995190856157,-4.533822326891466,103.20439507625964,Energy
