,pe_c,fcf_c,pb_c,ps_c,intercept,industry
Information Technology,5.841659238209483,-0.45977366427584254,-0.03680385064912017,-4.018809436036262,152.31090231710775,Information Technology
Industrials,-8.457956969354194,1.5786837736458201,0.4141946058579924,-29.117462745307307,165.3290498194077,Industrials
Health Care,-2.012136863081679,1.2695035399526435,2.0132150694266895,4.306450807183764,154.18907347319674,Health Care
Financials,1.6874565873408665,-1.605337161760982,-0.09970826984928216,16.719022184894005,105.02938560866652,Financials
Communication Services,11.280850241074454,-2.3326954782963734,-0.5090705968394339,-3.2285450588623315,155.3162709728242,Communication Services
Consumer Discretionary,6.138023521407875,1.9968317699340572,-0.3027277747299342,-33.484296901895405,173.5860773984739,Consumer Discretionary
Materials,1.8228122764456343,1.6626904939751164,-2.2219591708852464,-86.2007618187912,171.9764108155404,Materials
Utilities,-8.008989908491527,0.15223706550691674,8.019336395897058,-50.13290377712185,139.05432486766293,Utilities
Real Estate,0.6834322852896543,-0.02036660959995551,-0.0975262410706016,-5.873760879424989,133.91045360841466,Real Estate
Consumer Staples,-0.4430578197251003,6.108013017338474,-0.10147731712025454,6.522646955825385,125.77319134860757,Consumer Staples
Energy,3.242842126032439,-2.161934282181244,-8.238438013450065,-14.33717821331101,112.67073408915516,Energy
