,pe_c,fcf_c,pb_c,ps_c,intercept,industry
Information Technology,3.647759713233481,-3.3054044636314455,-0.01838115473499613,-6.063672817567223,140.91638434292233,Information Technology
Industrials,-3.040006132840989,0.1260366975442011,0.16681049334820752,-9.131530647921798,130.4912220539079,Industrials
Health Care,0.0066238237688831525,1.245104408841884,0.6033130869980255,1.0618073367141339,127.89216786773758,Health Care
Financials,0.290861581843608,-0.04384087988315066,-0.8454758956006813,9.90851432230047,101.15506918741332,Financials
Communication Services,7.330554432567329,0.2685360505735175,0.23133524650716297,-3.943229528494262,126.49378817468627,Communication Services
Consumer Discretionary,3.6823212547564603,1.4827899157483633,-0.2676531466977526,-18.919332787615684,137.34068666130668,Consumer Discretionary
Materials,1.3148246220034816,2.3040659839329756,-2.4042059032971768,-50.44222765524018,143.6348733282021,Materials
Utilities,-4.923340033469479,-0.03219026302390593,0.16745290791000841,-29.876361963007795,124.98437518585487,Utilities
Real Estate,0.35394481212940154,0.41385145579410654,-0.24625767133681542,-4.751685289291494,120.76088553518987,Real Estate
Consumer Staples,-1.4706556568748592,1.0836578739214877,-0.055969729867617724,-0.36382571010984627,117.64349799065712,Consumer Staples
Energy,10.60919273252798,-0.7101376399041648,-9.301997161423692,-8.932242258807587,103.43568187063607,Energy
