code,industry,stockratio,initialPE,initialFCF,initialPB,initialDE
MMM,Industrials,135.32,17.01,18.53,4.23,0.87
ABT,Health Care,184.82,20.47,23.95,2.03,0.7
ABBV,Health Care,183.21,15.32,10.89,13.86,5.5
ABMD,Health Care,1067.74,140.74,61.66,6.63,0.21
ACN,Information Technology,207.06,13.47,14.75,8.28,2.05
ATVI,Communication Services,238.57,17.79,14.7,1.8,1.12
ADBE,Information Technology,388.13,99.61,29.52,4.19,0.54
AMD,Information Technology,419.0,0.0,0.0,5.16,6.97
AAP,Consumer Discretionary,126.06,20.39,21.61,5.22,2.67
AES,Utilities,103.65,81.33,11.72,1.08,4.28
AFL,Financials,135.04,8.37,2.5,1.77,7.3
A,Health Care,162.92,16.25,12.01,2.16,1.02
APD,Materials,152.82,18.63,59.12,2.51,1.41
AKAM,Information Technology,113.72,29.3,28.23,3.2,0.13
ALK,Industrials,156.66,12.92,11.43,2.25,1.88
ALB,Materials,115.86,11.39,17.1,2.58,1.06
ARE,Real Estate,186.97,32.08,0.0,0.92,0.9
ALXN,Health Care,64.36,105.46,56.7,10.99,0.39
ALGN,Health Care,321.95,74.21,28.33,7.26,0.31
LNT,Utilities,170.01,12.66,0.0,1.3,2.19
ALL,Financials,145.23,9.97,5.59,1.0,4.75
GOOGL,Communication Services,163.3,29.48,36.65,4.32,0.27
MO,Consumer Staples,139.84,11.78,12.54,12.89,7.47
AMZN,Consumer Discretionary,330.83,687.57,91.3,18.78,3.12
AEE,Utilities,189.08,24.72,26.51,1.06,2.15
AAL,Industrials,116.63,0.0,0.0,-4.59,-16.48
AEP,Utilities,168.76,11.9,39.35,1.1,2.51
AXP,Financials,99.36,16.66,11.74,4.44,6.87
AIG,Financials,74.37,7.12,11.02,0.63,4.36
AMT,Real Estate,191.69,50.65,31.9,7.69,4.65
AWK,Utilities,210.92,17.69,0.0,1.37,2.19
AMP,Financials,90.01,15.02,15.91,2.01,14.66
ABC,Health Care,100.34,48.49,0.0,6.41,7.81
AME,Industrials,116.76,23.91,20.68,3.92,0.87
AMGN,Health Care,169.18,14.35,12.99,3.26,1.99
APH,Information Technology,167.23,21.27,22.02,4.58,1.14
ADI,Information Technology,169.1,19.4,16.51,2.72,0.35
ANSS,Information Technology,143.99,33.67,27.28,3.77,0.27
ANTM,Health Care,269.37,10.21,10.38,0.99,1.41
AON,Financials,161.17,21.91,16.05,2.85,2.69
AOS,Industrials,147.57,26.6,24.83,3.34,0.8
APA,Energy,29.43,13.56,51.48,0.83,0.74
AAPL,Information Technology,189.26,12.39,10.1,3.44,0.74
AMAT,Information Technology,175.46,75.51,45.37,2.69,0.7
APTV,Consumer Discretionary,114.84,11.95,12.31,4.15,2.22
ADM,Consumer Staples,95.01,17.31,5.4,1.15,1.17
AJG,Financials,159.51,18.9,18.31,2.51,2.29
AIZ,Financials,131.43,9.09,4.56,0.85,5.15
T,Communication Services,92.92,6.84,9.07,1.33,2.04
ATO,Utilities,203.37,14.1,0.0,1.31,2.24
ADSK,Information Technology,284.54,36.94,19.6,4.16,1.0
ADP,Information Technology,181.79,20.72,19.06,4.65,5.12
AZO,Consumer Discretionary,153.96,16.05,15.82,-9.04,-5.08
AVB,Real Estate,151.14,33.89,0.0,1.42,0.78
AVY,Materials,174.87,21.28,24.68,2.81,2.09
BKR,Energy,51.97,13.56,9.71,0.82,0.56
BLL,Materials,163.03,17.86,15.79,4.89,4.52
BAC,Financials,148.9,13.71,1.71,0.63,8.04
BK,Financials,129.54,17.1,0.0,0.89,8.78
BAX,Health Care,166.89,9.28,7.45,2.17,1.97
BDX,Health Care,193.96,20.98,16.02,3.78,1.37
BRK.B,Financials,151.27,15.03,17.61,0.62,1.16
BBY,Consumer Discretionary,168.1,0.0,9.46,3.18,3.03
BIO,Health Care,165.02,46.3,56.1,1.63,0.55
BIIB,Health Care,102.58,32.95,29.26,7.06,0.38
BLK,Financials,123.25,15.82,13.08,1.67,7.26
BA,Industrials,236.13,19.53,14.59,5.81,5.18
BKNG,Consumer Discretionary,130.16,32.28,27.48,8.75,0.51
BWA,Consumer Discretionary,58.1,18.71,38.89,3.18,0.9
BXP,Real Estate,115.56,16.47,0.0,1.73,1.86
BSX,Health Care,258.26,0.0,17.56,2.43,1.53
BMY,Health Care,97.04,28.22,24.17,4.71,1.53
AVGO,Information Technology,471.84,17.3,19.65,3.27,0.18
BR,Information Technology,235.89,17.12,17.8,4.81,1.26
BF.B,Consumer Staples,151.82,22.83,30.84,7.6,1.11
CHRW,Industrials,142.05,18.69,25.3,7.91,1.98
COG,Energy,51.98,54.18,100.03,6.86,1.26
CDNS,Information Technology,272.42,25.04,12.8,3.49,1.1
CPB,Consumer Staples,88.47,28.86,17.55,8.15,5.73
COF,Financials,95.22,9.7,4.33,0.93,6.13
CAH,Health Care,65.45,51.74,9.3,2.88,2.8
KMX,Consumer Discretionary,115.26,22.99,0.0,3.42,2.44
CCL,Consumer Discretionary,167.29,21.77,30.91,0.95,0.63
CAT,Industrials,143.59,12.7,7.3,2.23,3.07
CBOE,Financials,187.41,24.54,21.79,14.89,0.55
CBRE,Real Estate,133.73,27.98,14.82,4.51,2.62
CE,Materials,155.89,6.92,19.91,2.8,2.34
CNC,Health Care,343.55,20.19,10.56,2.62,1.84
CNP,Utilities,133.07,24.27,23.04,1.73,4.05
CERN,Health Care,82.64,48.42,114.5,5.94,0.29
CF,Materials,95.45,7.62,16.94,1.93,0.96
SCHW,Financials,146.46,30.75,22.04,3.0,12.84
CHTR,Communication Services,183.03,0.0,37.85,86.93,113.54
CVX,Energy,93.36,8.4,0.0,1.18,0.69
CMG,Consumer Discretionary,71.19,50.93,50.68,10.75,0.31
CB,Financials,122.67,8.1,7.57,1.04,2.28
CHD,Consumer Staples,188.03,21.5,19.51,3.61,0.85
CI,Health Care,191.0,16.79,129.45,2.27,4.14
CINF,Financials,153.37,13.42,8.81,1.13,1.91
CTAS,Industrials,318.21,19.31,16.67,2.82,1.03
CSCO,Information Technology,209.21,9.74,7.97,1.63,0.71
C,Financials,92.19,10.46,2.32,0.68,8.12
CTXS,Information Technology,178.46,27.18,12.1,2.72,0.57
CLX,Consumer Staples,167.25,17.97,20.05,63.87,27.13
CME,Financials,262.03,20.28,14.74,0.94,1.57
CMS,Utilities,190.97,13.02,60.86,1.64,3.99
KO,Consumer Staples,118.34,17.34,18.34,4.34,1.69
CTSH,Information Technology,112.35,24.0,25.37,4.79,0.33
CL,Consumer Staples,89.7,23.15,20.36,20.03,4.52
CMCSA,Communication Services,125.17,17.91,21.58,2.34,2.11
CMA,Financials,138.85,13.7,9.99,1.0,8.12
CAG,Consumer Staples,124.99,12.94,9.48,1.62,2.74
COP,Energy,90.3,7.65,6.47,1.32,1.25
ED,Utilities,147.24,11.77,0.0,0.93,2.32
STZ,Consumer Staples,254.4,6.88,20.81,2.6,1.99
COO,Health Care,175.9,21.63,26.94,2.55,0.3
CPRT,Industrials,266.52,23.7,559.55,4.92,0.7
GLW,Information Technology,167.01,11.19,12.4,0.99,0.34
COST,Consumer Staples,184.07,22.72,42.19,4.06,1.83
CCI,Real Estate,153.76,207.38,27.32,2.79,1.97
CSX,Industrials,208.42,13.78,25.8,2.45,2.03
CMI,Industrials,95.63,14.63,15.35,2.75,0.87
CVS,Health Care,88.86,16.08,19.18,1.88,0.89
DHI,Consumer Discretionary,144.01,13.74,0.0,1.59,1.13
DHR,Health Care,159.55,14.81,13.18,1.75,0.54
DRI,Consumer Discretionary,241.19,14.24,32.48,2.46,2.48
DVA,Health Care,71.33,21.45,11.17,2.93,2.71
DE,Industrials,164.04,7.67,8.94,2.54,4.8
DAL,Industrials,172.74,2.0,10.61,1.79,3.49
XRAY,Health Care,69.47,21.54,20.95,2.56,0.97
DVN,Energy,34.15,0.0,0.0,1.07,1.09
