code,industry,stockratio,initialPE,initialFCF,initialPB,initialPS
MMM,Industrials,113.09700710068678,0.742851538827127,0.49827227546108915,1.1945397070291208,0.8393172454384934
ABT,Health Care,95.12327779635235,0.3137338969454804,0.2515133909531643,0.5166567444512454,0.47832058073376504
ABMD,Health Care,184.7815973205408,0.0,0.0,1.0882769723547512,1.741808907200314
ACN,Information Technology,123.84159106284302,0.7631810557920705,0.45310446423131484,2.59794065117683,0.5189327055130469
ATVI,Communication Services,102.36203799446339,7.815875103414113,0.5572281553820577,0.42505093869747856,1.389837159113204
ADBE,Information Technology,97.64440452686894,2.6049254035350655,0.8867154520371481,1.374087086306504,2.8473611928585445
AMD,Information Technology,24.11832624397398,2.95492276317477,44.6833270230044,3.6715606946109784,0.5414949970570925
AAP,Consumer Discretionary,167.31153476206427,0.7637305021965285,0.34470171727985655,1.0479704178230937,0.3113596233078281
AES,Utilities,66.90596488340893,0.5703253678273357,0.0,0.28214588172160215,0.23916029036688252
AFL,Financials,96.57139599974552,0.6032921520948117,0.12694532208789197,0.714525284879382,0.40612124779281933
A,Health Care,126.02125200755798,0.0,0.9608857525828829,0.828116484014053,0.5730822052187562
APD,Materials,92.96409190188473,0.8291146243270225,2.876476399369837,0.8574303418552585,0.6723562880125564
AKAM,Information Technology,112.32149719480084,1.785151368083828,0.7184059238756734,0.9160580575376693,2.5089268196978614
ALK,Industrials,257.76777491722225,0.5021940136745519,0.0,0.46535749322913605,0.14891112419070043
ALB,Materials,110.93460630461117,0.8620814085944986,0.5196675544646664,0.817123787323601,0.6317441632332745
ARE,Real Estate,67.1273290766227,0.9082349065689652,0.0,0.31512397179295826,1.6335099077888957
ALXN,Health Care,328.4001885508529,0.8302135171359384,2.6758362273807346,2.312130537225077,5.157739846968806
ALGN,Health Care,193.43902481752514,0.0,0.8738782846350017,1.78448109608338,1.7553462821267414
LNT,Utilities,121.60585742681774,1.1032883801515316,0.0,0.2711531850311501,0.2933097900725918
ALL,Financials,121.23547823217244,0.8296640707314805,0.14929150238051717,0.28214588172160215,0.18049833235236415
GOOGL,Communication Services,109.05029771251245,1.6725148551699516,1.1101772549634001,2.011663494352722,3.7814400627820293
MO,Consumer Staples,148.146135374515,0.38681026873838564,0.33661905632294953,2.0263204232733245,0.4286835393368648
AMZN,Consumer Discretionary,178.841769655179,3.6411813223427294,0.9680175122507418,4.16256781345117,1.0920149107318031
AEE,Utilities,96.02263248387891,0.358239055706573,1.0264979415271864,0.1978685404281366,0.24818520698450072
AAL,Industrials,314.86448124301313,0.0,0.0,-0.15756198589647913,0.03158720816166373
AEP,Utilities,97.80487362322472,0.40988701772561886,0.0,0.2968028106422049,0.3384343731606828
AXP,Financials,143.42650403288175,1.2280127139634829,0.33899630954556925,1.0369777211326416,0.6813812046301747
AIG,Financials,122.90811319516179,0.0,0.007607210312383041,0.010992696690452032,0.018049833235236415
AMT,Real Estate,115.21463494664434,3.243931571919643,1.1967092722667572,1.62325487795675,3.903276437119875
AWK,Utilities,128.7823675523401,0.0,0.0,0.2711531850311501,0.5595448302923288
AMP,Financials,194.21510892117763,0.5708748142317935,0.0,0.2858101139517528,0.43770845595448304
ABC,Health Care,172.4612597667609,0.6571378997316892,0.35421073017033533,0.8317807162442038,0.04061212477928193
AME,Industrials,191.30854119744077,0.8923009608396849,0.5505718463587226,0.897736896386916,0.825779870512066
AMGN,Health Care,127.59315918455974,0.5494464044579341,0.37703236110748445,0.7255179815698342,1.4214243672748677
APH,Information Technology,118.57763504803256,1.2741662119379493,0.6718117607123273,1.5279848399728324,1.177751618599176
ADI,Information Technology,130.15451058450637,1.2439466596927629,0.7122250654968622,0.8134595550934505,1.2589758681577399
ANSS,Information Technology,121.04262144425452,1.8802055960550506,1.1467869545917433,1.0882769723547512,3.479105356091819
ANTM,Health Care,100.76607086561431,0.27307486301559325,0.4293319320051178,0.329780900713561,0.16696095742593683
AON,Financials,138.73594861529347,0.7153792186042301,1.2965539076167845,0.6045983179748617,0.5866195801451836
AOS,Industrials,236.83203252205556,0.7126319865819406,0.24533253257435306,0.5276494411416975,0.17147341573474595
APA,Energy,51.676053075013904,0.0,2.3292327075227823,0.6778829625778754,1.5297233666862862
AAPL,Information Technology,166.17847621159024,1.15163966374383,0.729816739344248,1.6855468258693114,1.5974102413184228
AMAT,Information Technology,97.83086330645932,0.0,7.382797608167741,0.6778829625778754,1.1732391602903671
ADM,Consumer Staples,91.2825318455111,0.7692249662411078,1.5390337363239937,0.3700874552452184,0.14891112419070043
AJG,Financials,148.24066020331074,0.68351132714567,0.4050839491343969,0.670554498117574,0.41514616441043756
AIZ,Financials,147.5551234254324,0.3527445916619937,0.6090522756351672,0.20519700488843795,0.14439866588189132
T,Communication Services,94.64884705018196,0.3851619295250118,0.23439716775030242,0.31512397179295826,0.32489699823425544
ATO,Utilities,109.89261238218103,0.508237924123589,0.2633996570662628,0.31512397179295826,0.19403570727879146
ADSK,Information Technology,96.55220023676169,0.0,1.7306403460671416,1.465692892060271,1.484598783598195
ADP,Information Technology,127.76987511973705,0.5857098671521578,0.4792542496801315,0.9160580575376693,0.7445556209535021
AZO,Consumer Discretionary,188.320364046347,0.6549401141138574,0.5111094428632356,-5.5403191319878236,0.5279576221306651
AVB,Real Estate,98.57137109279601,1.6417458565203071,0.0,0.5642917634432043,2.5179517363154797
AVY,Materials,93.14912224808545,1.5840539840522239,0.30476386313984555,0.7988026261728477,0.22562291544045518
BKR,Energy,86.365542905054,0.9450478156676466,1.094962834338634,0.36642322301506774,0.3384343731606828
