code,industry,stockratio,initialPE,initialFCF,initialPB,initialPS
MMM,Industrials,65.75505875614394,19.26,18.34,9.07,3.24
ABMD,Health Care,171.49665776140216,105.31,73.43,11.75,12.19
ACN,Information Technology,132.8834911998022,16.5,16.04,8.9,2.1
ADBE,Information Technology,277.4015236010479,44.31,25.98,6.84,8.86
AMD,Information Technology,482.051154516841,0.0,0.0,25.49,2.15
A,Health Care,144.74712093321742,29.76,21.11,3.2,3.29
APD,Materials,123.77846731866151,50.8,18.41,3.94,3.82
ARE,Real Estate,106.98931749579931,0.0,0.0,1.62,8.09
ALXN,Health Care,76.11631330102483,69.91,36.74,3.15,8.98
GOOGL,Communication Services,131.8288118740361,28.47,22.73,3.94,6.56
GOOG,Communication Services,135.29377505207464,27.73,22.14,3.84,6.39
AMZN,Consumer Discretionary,258.88800797666215,152.72,34.68,18.55,2.67
AXP,Financials,103.55187854866853,12.32,9.38,3.06,1.76
ABC,Health Care,80.00327523664225,12.11,11.1,7.44,0.11
AMGN,Health Care,104.20307884308994,12.75,10.24,3.23,4.29
APH,Information Technology,120.60448437747293,24.76,22.79,5.35,3.24
ADI,Information Technology,119.8925536639721,21.26,15.74,3.5,5.36
AOS,Industrials,73.47403998192874,23.99,21.39,5.07,2.92
AAPL,Information Technology,288.4291464441488,13.12,11.01,4.35,2.73
AMAT,Information Technology,128.52597254595483,17.56,13.22,4.09,2.83
APTV,Consumer Discretionary,142.65350803816216,11.91,11.35,5.32,0.96
AJG,Financials,154.68533543366362,20.55,19.7,2.33,1.5
ATO,Utilities,83.72562489863671,18.8,0.0,1.92,2.74
ADSK,Information Technology,194.23881293873768,0.0,71.28,15.17,7.36
ADP,Information Technology,111.64627777196891,25.22,21.07,11.07,3.55
AZO,Consumer Discretionary,86.58378583409338,18.71,19.62,-11.84,2.22
BAX,Health Care,112.56248631710251,4.73,25.04,2.77,2.31
BDX,Health Care,95.03374851495411,26.03,19.64,4.4,2.75
BBY,Consumer Discretionary,190.14601030109014,10.47,6.63,2.55,0.29
BIIB,Health Care,55.836522791282576,15.45,14.4,4.65,5.01
BA,Industrials,88.44004965556177,18.86,11.71,101.53,0.99
BMY,Health Care,71.77938280512689,19.44,46.96,5.24,4.45
AVGO,Information Technology,139.59849547025223,0.0,21.06,2.7,4.29
BR,Information Technology,147.49844769552124,25.27,24.22,7.42,2.18
BF.B,Consumer Staples,120.29906114037378,16.41,38.41,13.0,5.71
CPB,Consumer Staples,57.35197892188534,22.7,12.93,9.25,1.88
CAH,Health Care,50.50615025985741,15.16,12.0,3.15,0.16
KMX,Consumer Discretionary,96.41741812048873,18.23,0.0,3.59,0.73
CCL,Consumer Discretionary,25.8223446722391,12.33,16.42,1.48,2.11
CTLT,Health Care,230.08862837437073,37.44,47.39,5.72,1.79
CE,Materials,106.50626025529732,11.74,16.29,3.37,1.96
CMG,Consumer Discretionary,219.06112318322832,465.83,116.62,7.75,2.85
CTAS,Industrials,192.78802369712366,22.84,61.14,5.68,2.42
CSCO,Information Technology,79.14121048166247,12.77,10.97,2.12,2.78
CTXS,Information Technology,111.62705988737052,20.37,10.59,4.16,3.98
CLX,Consumer Staples,110.97454547108987,21.62,22.1,51.22,2.42
CMS,Utilities,97.83516475539791,18.54,0.0,2.4,1.61
CTSH,Information Technology,91.03026072343869,21.06,24.26,3.03,2.42
CMCSA,Communication Services,97.0363749088603,17.95,15.46,2.71,1.94
CMA,Financials,56.205054072308,22.1,26.82,1.33,3.53
CAG,Consumer Staples,64.82480302042464,23.32,12.27,3.21,1.96
STZ,Consumer Staples,85.53188712888297,22.1,42.54,4.07,4.51
COO,Health Care,108.12853784217957,31.46,24.14,3.18,4.38
CPRT,Industrials,250.69019580606812,16.19,45.2,7.44,4.78
COST,Consumer Staples,168.5209418865704,24.56,22.23,4.84,0.5
CMI,Industrials,111.11352745824792,14.7,14.43,2.83,1.17
DHI,Consumer Discretionary,157.9764023265789,10.46,19.1,1.39,0.77
DRI,Consumer Discretionary,96.61509665062502,19.42,12.74,4.45,1.21
DVA,Health Care,108.99901097335851,14.97,10.89,2.58,1.25
DE,Industrials,164.47119634861568,16.97,5.9,3.94,0.97
DXCM,Health Care,369.1374448106376,0.0,0.0,17.8,8.69
DG,Consumer Discretionary,187.22894750223014,15.61,16.04,3.42,0.89
DLTR,Consumer Discretionary,71.2588728749536,22.29,19.57,3.53,0.86
DOV,Industrials,134.74035826857562,17.13,14.33,2.28,1.45
EBAY,Consumer Discretionary,103.85569072584073,4.47,14.99,2.97,3.57
EW,Health Care,174.12261429722864,35.76,38.63,7.57,6.88
EA,Communication Services,108.8291410357176,19.37,15.25,6.8,5.32
EMR,Industrials,96.7990655788563,19.92,14.38,4.09,2.2
EL,Consumer Staples,215.6067840454596,25.37,23.92,7.08,2.42
EXPE,Consumer Discretionary,72.11097857907136,63.63,21.14,2.88,1.91
FFIV,Information Technology,72.4645370888261,26.03,15.28,7.85,4.81
FB,Communication Services,141.52070047067778,35.29,28.97,5.62,12.16
FAST,Industrials,139.09961420846136,24.05,35.71,6.22,3.04
FRT,Real Estate,40.886912687716226,35.46,0.0,4.3,10.97
FDX,Industrials,93.72406054251991,26.66,49.24,3.34,0.9
F,Consumer Discretionary,53.029974579505776,8.66,3.07,1.37,0.26
BEN,Financials,46.91503179041852,10.69,10.25,1.47,2.86
GPS,Consumer Discretionary,47.39719509107907,14.64,9.47,3.58,0.64
GD,Industrials,55.99471507955428,16.51,27.57,4.62,1.6
GE,Industrials,22.659066302951324,31.57,0.0,3.21,2.18
GIS,Consumer Staples,69.1084939483159,19.4,16.3,6.67,1.98
GM,Consumer Discretionary,81.4836191589684,5.08,0.0,1.04,0.32
HAL,Energy,22.5716715871966,0.0,0.0,4.57,2.7
HBI,Consumer Discretionary,46.14035265099636,13.25,11.91,5.78,1.19
PEAK,Real Estate,73.62796397505667,18.22,11.63,1.91,5.33
HPE,Information Technology,33.52344180773477,8.32,11.89,0.8,0.88
HOLX,Health Care,108.20289336886673,34.29,16.38,5.0,3.98
HD,Consumer Discretionary,143.2962712027172,17.85,16.34,23.94,1.48
HON,Industrials,122.2229046107401,16.92,18.18,4.04,2.05
HRL,Consumer Staples,81.70719849798567,21.54,24.24,4.19,2.01
HPQ,Information Technology,82.80668192065744,9.03,7.91,-5.64,0.46
HII,Industrials,58.60894806031074,14.28,15.13,4.85,1.16
IDXX,Health Care,254.07365568523957,47.87,38.88,-95.33,6.01
INFO,Industrials,166.42365521884898,296.19,34.66,1.82,4.0
ITW,Industrials,109.32401554915569,19.5,19.41,9.05,2.93
INCY,Health Care,51.705635088540916,185.69,105.51,45.14,17.55
INTC,Information Technology,90.61638578746032,15.44,13.04,2.33,2.67
ICE,Financials,128.13663968662303,22.59,18.01,2.03,7.12
INTU,Information Technology,178.66426263840896,27.95,31.2,28.79,5.76
ISRG,Health Care,230.68079653845342,33.93,24.12,4.26,9.18
IQV,Health Care,140.42859921456278,45.54,16.61,2.02,1.45
JKHY,Information Technology,113.78228901337776,25.87,17.24,6.78,4.81
J,Industrials,118.25678135661914,29.68,9.51,1.61,0.63
SJM,Consumer Staples,57.09931023914731,18.78,12.5,1.87,1.8
JCI,Industrials,75.11605103271523,0.0,0.0,1.7,1.16
JNPR,Information Technology,52.45228874641911,16.51,10.88,1.96,1.98
KSU,Industrials,150.51161617554277,18.25,26.1,1.96,3.74
KEYS,Information Technology,190.57543192593232,16.91,17.15,3.68,1.93
KMB,Consumer Staples,80.06244184368013,16.79,14.62,305.94,1.99
KMI,Energy,47.33204837063932,67.59,20.12,1.08,2.88
KLAC,Information Technology,215.21817697185566,13.0,13.52,11.61,3.44
KR,Consumer Staples,67.7021396548021,13.49,33.32,3.95,0.24
LB,Consumer Discretionary,32.262189841549514,14.93,14.43,-14.24,1.39
LRCX,Information Technology,285.6717460766467,17.72,12.81,2.43,2.76
LVS,Consumer Discretionary,78.12873524779074,21.65,13.63,4.82,3.21
LEN,Consumer Discretionary,108.35358694971899,10.59,21.45,1.35,0.88
LMT,Industrials,93.76042011124791,13.14,16.58,40.61,1.46
L,Financials,58.552456737220204,24.51,13.68,0.66,1.18
LOW,Consumer Discretionary,152.4499140305011,22.57,12.4,8.02,0.88
MAS,Industrials,108.53469774690296,20.47,16.3,-92.9,1.35
MKC,Consumer Staples,130.60960050920843,22.9,21.43,6.48,2.46
MXIM,Information Technology,153.9646252335481,19.84,14.04,4.52,4.44
MCK,Health Care,76.94399037590823,15.94,5.48,3.64,0.16
MDT,Health Care,78.98516263617857,25.09,21.5,2.06,3.67
MTD,Health Care,162.29856993745585,29.33,33.54,25.04,4.52
MCHP,Information Technology,137.08071129814815,157.65,15.89,5.05,4.42
MU,Information Technology,195.60390321304467,0.0,0.0,1.63,1.58
MSFT,Information Technology,226.76414428032402,27.51,16.73,6.55,4.88
MDLZ,Consumer Staples,85.58838132890504,38.78,36.56,2.47,2.48
MSI,Information Technology,131.49027011211524,23.57,13.8,-13.34,2.21
MSCI,Financials,353.166934236564,27.86,18.17,21.62,6.35
NTAP,Information Technology,85.76718922667611,27.53,8.71,3.0,1.62
NFLX,Communication Services,260.3450405028079,294.76,0.0,19.87,6.14
NWSA,Communication Services,98.44840178881775,0.0,16.37,0.56,0.77
NWS,Communication Services,94.48683540704292,0.0,16.88,0.58,0.79
NEE,Utilities,168.8798278158528,17.54,18.21,2.01,3.14
NKE,Consumer Discretionary,167.87818016278732,21.02,26.44,6.41,2.45
